target_per_hour	device	records	achieved_per_hour	separation
1.0	8	1021	3.9582188015393074	26.360587671256997
1.0	9	519	4.473161033797216	15.231521825854088
1.0	10	0	4.512974802557352	2.041874191077186
1.0	11	464	4.314994606256742	10.11981630488455
1.0	12	305	4.27299703264095	11.09364299379808
1.0	14	663	4.2467854193700605	35.15615136416643
10.0	8	1021	10.0	26.360587671256997
10.0	9	520	10.0	15.231521825854088
10.0	10	0	10.0	2.041874191077186
10.0	11	464	10.0	10.11981630488455
10.0	12	305	10.0	11.09364299379808
10.0	14	663	10.0	35.15615136416643
100.0	8	1035	100.0	26.360587671256997
100.0	9	551	100.0	15.231521825854088
100.0	10	0	100.0	2.041874191077186
100.0	11	471	100.0	10.11981630488455
100.0	12	402	100.0	11.09364299379808
100.0	14	693	100.0	35.15615136416643
281.0	8	1040	281.0	26.360587671256997
281.0	9	618	281.0	15.231521825854088
281.0	10	2	281.0	2.041874191077186
281.0	11	483	281.0	10.11981630488455
281.0	12	492	281.0	11.09364299379808
281.0	14	714	281.0	35.15615136416643
1000.0	8	1041	1000.0	26.360587671256997
1000.0	9	681	1000.0	15.231521825854088
1000.0	10	6	1000.0	2.041874191077186
1000.0	11	529	1000.0	10.11981630488455
1000.0	12	572	1000.0	11.09364299379808
1000.0	14	717	1000.0	35.15615136416643
