axis	name	bytes	v1	v2	v3
A	4 bit	1.5	0.01631555904140003	0.06995916180158912	0.0
A	6 bit	1.75	0.005526533690732416	0.015942773078023054	0.0
A	8 bit（現行）	2	0.0013088018812434932	0.004240935312465055	0.0
A	10 bit	2.25	0.0002872863709930673	0.0013154789732818806	0.0
A	12 bit	2.5	5.5563334174779655e-05	0.0002141266529254171	0.0
A	16 bit	3	3.298438273735549e-06	2.2882142265645555e-05	0.0
A	float16	3	3.0615039244841213e-06	7.241614029873666e-05	0.0
A	float32	5	3.776094992247181e-10	4.908498385525206e-09	0.0
B	float32（現行）	30	3.776094992247181e-10	4.908498385525206e-09	0.0
B	float16	18	3.0615039244841213e-06	7.241614029873666e-05	0.0
B	int16 0.01 床	18	9.34267441473624e-05	0.0004972268896250576	0.0
B	int8 0.1 床	12	0.0013088018812434932	0.004240935312465055	0.0
C	Test_8	28	2.7637016484893806e-05	3.146460153258257e-06	0.0
C	Test_9	28	0.00023947667061285927	1.2826770840468349e-05	0.0
C	Test_10	28	0.0004603899123840627	1.6355803048928585e-05	0.0
C	Test_11	28	8.493642355145159e-05	2.6681356005697765e-06	0.0
C	Test_12	28	2.252101302968601e-05	8.123453085762122e-07	0.0
C	Test_14	28	0.00014740442393645914	1.4740401631740951e-05	0.0
D	4 KB	4096	0.3427701113835494	0.9880214689007911	2.7421608910683952
D	8 KB	8192	0.6855402227670988	1.9760429378015822	5.4843217821367904
D	16 KB	16384	1.3710804455341976	3.9520858756031645	10.968643564273581
D	32 KB	32768	2.7421608910683952	7.904171751206329	21.937287128547162
D	64 KB	65536	5.4843217821367904	15.808343502412658	43.874574257094324
D	128 KB	131072	10.968643564273581	31.616687004825316	87.74914851418865
D	256 KB	262144	21.937287128547162	63.23337400965063	175.4982970283773
D	512 KB	524288	43.874574257094324	126.46674801930126	350.9965940567546
D	1024 KB	1048576	87.74914851418865	252.93349603860253	701.9931881135092
