kind	id	a	b	t0	r2_or_tfail	extra
fit	8	9.999999999408743	0.004927366682516991	1.480809705919659	0.983166844066943	6.492129987689326
fit	9	9.999878841646428	0.0026732697421378068	2.0933358931265045	0.99438432103625	11.330304281636668
fit	10	9.999999999999998	0.00246927339603098	0.0	0.6011561769741325	9.999950847913974
fit	11	9.999999996495538	0.002062924339072657	2.881830049509224	0.9848159055773859	14.851543204388657
fit	12	0.16658112905408146	0.09071234113700871	1.983221209830196	0.9828432088779405	12.087676308894471
fit	14	9.9999999999678	0.004094627234341193	1.111944825442734	0.9414444625105303	7.142435802339433
unit	id	sigma	S	a	b	t0	t_fail	t_alarm	hit	fa_rate
unit	0	0	0.17150235877700495	4.7662767211909225	5.91498799256023	0.004942191804621605	nan	nan	nan	0	305.55
unit	1	1	0.1104994487895336	5.867510368605203	33.09696995977721	0.0026820974034627546	10.564165840095898	13.369871648312493	0.001388888888888889	1	nan
unit	2	0	0.0675836924517922	9.494772358585028	5.497508943611402	0.270498285673489	nan	nan	nan	0	292.75
unit	3	1	0.0981777050517521	6.852359935060013	4.971312651416178	0.01136248146186046	22.109745675448764	26.427897130847445	0.001388888888888889	1	nan
unit	4	0	0.06271659177689277	8.94459617454187	0.21858514049547742	0.004926502592844074	nan	nan	nan	0	452.65
unit	5	1	0.2791776079740415	3.163557797834569	24.22296224407563	0.005082592872357374	63.51257388421032	65.53278093051763	0.06944444444444445	1	nan
unit	6	0	0.241511327416282	4.075903805078148	2.2929081972992176	0.0017220935766535468	nan	nan	nan	0	160.55
unit	7	1	0.06617259937531154	8.92814831892865	3.876227767731176	0.009923653348525676	77.3208486843042	83.61904936311944	0.043055555555555555	1	nan
unit	8	0	0.08687594411065401	8.141955282701556	4.029537798919741	0.023091760022055693	nan	nan	nan	0	311.6
unit	9	1	0.2791776079740415	3.163557797834569	5.31477108246807	0.026598060420749508	14.525651507814892	16.25381916939426	0.07916666666666666	1	nan
unit	10	0	0.5998237311057958	1.6316276612167815	0.6190412091948603	0.04685442280312514	nan	nan	nan	0	418.8
unit	11	1	0.47051878617467896	1.8354805616078302	0.7573228441370624	0.00612892099903067	5.108360522123511	51.651920214623125	0.5138888888888888	1	nan
unit	12	0	0.08567542351293418	8.472590372355025	8.407861922938656	0.007199536431827788	nan	nan	nan	0	59.15
unit	13	1	0.07353800740971879	8.566532747463366	8.085332789256265	0.0003393522289880335	65.54019745580763	155.27524567378163	0.004166666666666667	1	nan
unit	14	0	0.07509129666073337	8.448810807808941	26.0624925536839	0.014537741283179105	nan	nan	nan	0	324.8
unit	15	1	0.07889793219269021	8.499716642980067	24.339281668712058	0.003064991484416771	92.6736082607812	96.00773456227331	0.08333333333333333	1	nan
unit	16	0	0.06983644824742441	8.933652988792224	2.21872305754517	0.01914827922967366	nan	nan	nan	0	427.3
unit	17	1	0.06861560537297894	9.219327591281345	4.5486542324884045	0.0035992132583215386	24.017926995869715	38.88342409141835	0.05277777777777778	1	nan
unit	18	0	0.08628542398493783	8.361438060979085	9.265924034240475	0.0005627656582490727	nan	nan	nan	0	474.6
unit	19	1	1.3204525009121781	1.849384465237552	6.193938066904828	0.0032314060174111884	15.166447377419784	27.411510816944688	0.39444444444444443	1	nan
unit	20	0	0.241511327416282	4.075903805078148	4.486510391113837	0.014868962962866964	nan	nan	nan	0	483.7
unit	21	1	0.06570933727675661	8.085177409598394	10.270104421385142	0.1259262424496459	80.1645240647427	80.35551635735683	0.044444444444444446	1	nan
unit	22	0	0.07441020346924392	7.329060131644633	3.6111387402692303	0.021625497912200378	nan	nan	nan	0	536.05
unit	23	1	0.07368534337228515	8.428932672355476	3.2121626014096156	0.0008224494468064769	39.32578501707215	130.4547966703151	0.2125	1	nan
unit	24	0	0.17150235877700495	4.7662767211909225	0.3710600748973664	0.0027563125034319523	nan	nan	nan	0	162.6
unit	25	1	0.2791776079740415	3.163557797834569	19.781579105464978	0.015089980106195586	46.36522709353038	47.197489763888115	0.21944444444444444	1	nan
unit	26	0	0.07889793219269021	8.499716642980067	1.3862515670888629	0.0019986077894219244	nan	nan	nan	0	480.0
unit	27	1	0.0918794841646453	7.659592484860813	3.0574704441680276	0.002518070487825216	73.93363914035993	105.14633134941015	0.26666666666666666	1	nan
unit	28	0	0.07114186903476657	8.67536969930431	17.023804502798317	0.0017241746411353958	nan	nan	nan	0	166.6
unit	29	1	0.241511327416282	4.075903805078148	26.854434895371476	0.005424763021719946	94.44176390759338	96.1499276389648	0.09583333333333334	1	nan
unit	30	0	0.47051878617467896	1.8354805616078302	18.168763885490062	0.01484769468270083	nan	nan	nan	0	678.05
unit	31	1	0.07034099306314577	8.930675626709197	2.3609411010395562	0.013996446791629901	42.86112592509359	50.05226677506815	0.2916666666666667	1	nan
unit	32	0	0.07044084803853763	8.652551455057065	0.7390042161101485	0.0012084714549221748	nan	nan	nan	0	130.65
unit	33	1	0.07003120857964042	9.03106919272778	0.18132337986395342	0.0023724240450723327	74.97931255129998	440.24961304909084	0.125	0	nan
unit	34	0	0.07044084803853763	8.652551455057065	9.932538203228962	0.0040099775636060295	nan	nan	nan	0	17.7
unit	35	1	0.07003120857964042	9.03106919272778	20.954142893605766	0.004584627852997978	6.1168391629826	8.703789330671906	0.9361111111111111	1	nan
unit	36	0	0.2791776079740415	3.163557797834569	19.988407250290493	0.008882705306448307	nan	nan	nan	0	49.8
unit	37	1	0.06540208768606372	9.515689123814024	15.345756334866495	0.053387584143655756	45.540748885053006	45.84343858622395	0.04861111111111111	1	nan
unit	38	0	0.06271659177689277	8.94459617454187	16.895051422766368	0.001167911331735178	nan	nan	nan	0	269.5
unit	39	1	0.43684887945814554	2.2241310401199943	13.775638099157376	0.0025019642010382244	2.392056459678275	9.580516901485417	0.7986111111111112	1	nan
unit	40	0	0.08329095362678211	7.845857503657191	12.95095564227368	0.005705280620144996	nan	nan	nan	0	626.65
unit	41	1	0.07044084803853763	8.652551455057065	0.10206161914254791	0.00525146926634257	69.81767920987087	305.6049249758686	0.5055555555555555	0	nan
unit	42	0	0.0713143835022201	9.023670076799482	8.53932646675398	0.007151750736435441	nan	nan	nan	0	241.1
unit	43	1	0.07987593590847152	8.014140759840798	6.744866147691478	0.011154407754914273	68.83235249659994	72.0951727660474	0.5083333333333333	1	nan
unit	44	0	0.08329095362678211	7.845857503657191	17.030352785763792	0.00555162238801306	nan	nan	nan	0	82.6
unit	45	1	0.06861560537297894	9.219327591281345	5.139161526257726	0.0016219011781110162	12.429759198689085	41.7162986603856	0.06111111111111111	1	nan
unit	46	0	0.07651666925824759	8.73794474760024	11.039912081691238	0.013463959334690651	nan	nan	nan	0	511.0
unit	47	1	1.3204525009121781	1.849384465237552	5.314675934009559	0.003459883205588925	84.63827125391428	97.92389664859986	0.019444444444444445	1	nan
unit	48	0	0.07441020346924392	7.329060131644633	1.6530776138053564	0.008519288791009329	nan	nan	nan	0	279.1
unit	49	1	0.08972075944477054	8.532005144513137	55.99975747156206	0.014142657776544481	60.46235418269435	60.77731404866379	0.04861111111111111	1	nan
unit	50	0	0.06901479245493092	9.20419497808617	9.664089429573155	0.02677535770093374	nan	nan	nan	0	218.3
unit	51	1	0.06861560537297894	9.219327591281345	9.952826096284756	0.012182400967336455	89.31045264466721	91.34685003665808	0.06944444444444445	1	nan
unit	52	0	0.07353800740971879	8.566532747463366	1.3586017774057384	0.002533809507592415	nan	nan	nan	0	609.05
unit	53	1	0.07044084803853763	8.652551455057065	13.313538999389925	0.0037162842119597595	93.83219489114573	98.83820310489364	0.8055555555555556	1	nan
unit	54	0	0.06271659177689277	8.94459617454187	3.1792908974995853	0.0725035169917042	nan	nan	nan	0	97.55
unit	55	1	0.08687594411065401	8.141955282701556	9.062240875960859	0.0649339581320194	26.084818955900783	26.50391139884807	0.7097222222222223	1	nan
unit	56	0	0.06945089529985875	9.022742269823246	0.5197031106127562	0.013569898311399733	nan	nan	nan	0	543.65
unit	57	1	0.06540208768606372	9.515689123814024	2.5031805194962	0.0012972441921782257	22.214661055761056	95.59688577710796	0.5208333333333334	1	nan
unit	58	0	0.07987593590847152	8.014140759840798	0.5466741719320056	0.003553361292379917	nan	nan	nan	0	0.9
unit	59	1	0.06570933727675661	8.085177409598394	0.5856496470014839	0.0019042977250467914	79.79564007704616	266.47217666382153	0.04583333333333333	0	nan
unit	60	0	0.241511327416282	4.075903805078148	4.890062646116367	0.02109180408124652	nan	nan	nan	0	226.0
unit	61	1	0.08567542351293418	8.472590372355025	8.735736604354779	0.0011651698397525901	72.29964442985667	96.51605437217187	1.1527777777777777	1	nan
unit	62	0	0.06271659177689277	8.94459617454187	3.725534294097363	0.004130994819678254	nan	nan	nan	0	348.6
unit	63	1	0.08687594411065401	8.141955282701556	0.42307492677295316	0.0008342308939147015	29.5266747500758	586.0960419648984	0.08472222222222223	0	nan
