part	key	v1	v2	v3	v4	v5
A	Test_8	31.1874	10.3486	3.01369	1	1.64844
A	Test_9	22.099	10.6832	2.06857	0	2.06857
A	Test_10	17.8796	10.5709	1.69141	0	1.69141
A	Test_11	17.2546	9.79069	1.76235	0	1.76235
A	Test_12	19.2046	10.6796	1.79825	0	1.79825
A	Test_14	18.742	10.1606	1.84457	0	1.84457
B	k=1.01	1.01	0.00498756	6.15748	0.496275	0
B	k=1.02	1.02	0.00995049	12.2846	0.990099	0
B	k=1.05	1.05	0.0246951	30.4877	2.45722	0
B	k=1.1	1.1	0.0488088	60.2578	4.8566	0
B	k=1.2	1.2	0.0954451	117.833	9.49703	0
B	k=1.5	1.5	0.224745	277.463	22.3627	0
B	k=2.0	2	0.414214	511.375	41.2153	0
B2	Test_8	0.445333	0.0109504	76.2715	0	0
B2	Test_9	0.247619	0.00989888	45.8985	0	0
B2	Test_10	0.262016	0.0127608	41.189	0	0
B2	Test_11	0.178485	0.0110144	29.9815	0	0
B2	Test_12	0.157149	0.00961385	30.435	0	0
B2	Test_14	0.303253	0.00910433	62.2442	0	0
B	k at which error = g	1.00162	1.0202	0.00081	0.01005	0
