unit	group	n_transients	mean_base	time_base	one_base	ridge_p0	hgb_p0
ES10C1	ES10	6984	0.08461	0.08457	0.06217	0.00623	0.01484
ES10C2	ES10	6984	0.06564	0.06560	0.08032	0.01407	0.00496
ES10C3	ES10	6984	0.06815	0.06811	0.07793	0.00931	0.00446
ES10C4	ES10	6984	0.07165	0.07161	0.07457	0.00996	0.00369
ES10C5	ES10	6984	0.06622	0.06618	0.07977	0.01139	0.00489
ES10C6	ES10	6984	0.06571	0.06567	0.08026	0.00535	0.00503
ES10C7	ES10	6984	0.07461	0.07457	0.07175	0.00915	0.00447
ES12C1	ES12	7080	0.02681	0.02682	0.11750	0.03236	0.01677
ES12C2	ES12	7080	0.02878	0.02879	0.11562	0.04595	0.02685
ES12C3	ES12	7080	0.00778	0.00867	0.13570	0.00709	0.00296
ES12C4	ES12	7080	0.00549	0.00714	0.13797	0.01298	0.00329
ES12C5	ES12	7080	0.00972	0.00970	0.15243	0.00480	0.02992
ES12C6	ES12	7080	0.00914	0.01096	0.13549	0.00994	0.00451
ES12C7	ES12	7080	0.00368	0.00372	0.14592	0.02813	0.00453
ES12C8	ES12	7080	0.00265	0.00584	0.14217	0.01099	0.00524
ES14C1	ES14	7079	0.09946	0.09945	0.23826	0.02764	0.01163
ES14C2	ES14	7079	0.03709	0.03707	0.17861	0.03523	0.02045
ES14C3	ES14	7079	0.02530	0.02528	0.16733	0.01055	0.00593
ES14C4	ES14	7079	0.13583	0.13582	0.27304	0.07388	0.09949
ES14C5	ES14	7079	0.01126	0.00973	0.15230	0.04224	0.05055
ES14C6	ES14	7079	0.11812	0.11810	0.25610	0.03340	0.01593
ES14C7	ES14	7079	0.02099	0.02098	0.16322	0.04556	0.02337
ES14C8	ES14	7079	0.10902	0.10901	0.24740	0.05366	0.04225
