unit	group	n_transients	eis_mad	ridge_p0	ridge_p1	hgb_p0	hgb_p1
ES10C1	ES10	6984	0.00109	0.00623	0.00623	0.01484	0.01463
ES10C2	ES10	6984	0.00121	0.01407	0.01440	0.00496	0.00493
ES10C3	ES10	6984	0.00087	0.00931	0.00968	0.00446	0.00454
ES10C4	ES10	6984	0.00097	0.00996	0.01026	0.00369	0.00375
ES10C5	ES10	6984	0.00118	0.01139	0.01157	0.00489	0.00509
ES10C6	ES10	6984	0.00110	0.00535	0.00546	0.00503	0.00515
ES10C7	ES10	6984	0.00101	0.00915	0.00957	0.00447	0.00451
ES12C1	ES12	7080	0.00096	0.03236	0.03208	0.01677	0.01707
ES12C2	ES12	7080	0.00121	0.04595	0.04592	0.02685	0.02760
ES12C3	ES12	7080	0.00102	0.00709	0.00709	0.00296	0.00304
ES12C4	ES12	7080	0.00107	0.01298	0.01291	0.00329	0.00334
ES12C5	ES12	7080	0.00081	0.00480	0.00475	0.02992	0.02992
ES12C6	ES12	7080	0.00103	0.00994	0.00996	0.00451	0.00453
ES12C7	ES12	7080	0.00094	0.02813	0.02767	0.00453	0.00446
ES12C8	ES12	7080	0.00090	0.01099	0.01082	0.00524	0.00515
ES14C1	ES14	7079	0.00090	0.02764	0.02764	0.01163	0.01117
ES14C2	ES14	7079	0.00095	0.03523	0.03522	0.02045	0.02029
ES14C3	ES14	7079	0.00112	0.01055	0.01070	0.00593	0.00624
ES14C4	ES14	7079	0.00086	0.07388	0.07347	0.09949	0.09712
ES14C5	ES14	7079	0.00092	0.04224	0.04181	0.05055	0.05052
ES14C6	ES14	7079	0.00088	0.03340	0.03337	0.01593	0.01597
ES14C7	ES14	7079	0.00100	0.04556	0.04539	0.02337	0.02391
ES14C8	ES14	7079	0.00090	0.05366	0.05345	0.04225	0.04455
