unit	cycles	last_event	load	voltage	n_samples	k_variance	k_level	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
A13	47587	stuck open	10	10	24207	3	4	73.0000	74.0000	77.0000	96.0000	91.0000	82.0000	87.0000	91.0000	94.0000	103.0000	0.0137	0.0135	0.0390	0.1042	0.0989	0.0610	0.1264	0.0989	0.1702	0.1165
A2	95463	stuck closed	6	5	15462	3	None	73.0000	71.0000	70.0000	69.0000	69.0000	70.0000	73.0000	71.0000	72.0000	73.0000	0.0274	0.0282	0.0714	0.0580	0.0580	0.0571	0.0137	0.0141	0.0139	0.0137
B2	30257	stuck open	3	5	27020	8	None	85.0000	86.0000	87.0000	84.0000	85.0000	86.0000	85.0000	88.0000	85.0000	86.0000	0.0353	0.0349	0.0345	0.0357	0.0235	0.0233	0.0353	0.0795	0.0353	0.0465
B5	65549	stuck open	5	5	21901	8	None	76.0000	76.0000	76.0000	75.0000	75.0000	74.0000	74.0000	76.0000	78.0000	79.0000	0.0132	0.0132	0.0132	0.0000	0.0133	0.0135	0.0135	0.0263	0.0385	0.0253
B6	62926	stuck open	5	5	34140	None	None	68.0000	68.0000	70.0000	71.0000	70.0000	70.0000	70.0000	70.0000	70.0000	70.0000	0.0294	0.0147	0.0000	0.0000	0.0143	0.0143	0.0000	0.0143	0.0143	0.0000
B7	21402	stuck closed	7	10	1386	2	None	98.0000	98.0000	105.0000	101.0000	103.0000	95.0000	94.0000	94.0000	93.0000	95.0000	0.0612	0.1020	0.0857	0.0297	0.0583	0.0316	0.0213	0.0213	0.0215	0.0526
B9	30077	stuck closed	8	10	30052	None	None	92.0000	87.0000	91.0000	90.0000	90.0000	87.0000	89.0000	88.0000	90.0000	89.0000	0.2174	0.0575	0.0989	0.0667	0.0556	0.0460	0.0674	0.0568	0.0556	0.0449
C10	43906	stuck closed	9	10	3835	None	None	57.0000	56.0000	55.0000	55.0000	54.0000	54.0000	53.0000	54.0000	54.0000	54.0000	0.0175	0.0179	0.0000	0.0182	0.0185	0.0000	0.0000	0.0185	0.0185	0.0000
C4	35870	stuck open	4	5	15526	2	None	72.0000	72.0000	72.0000	73.0000	72.0000	72.0000	71.0000	72.0000	72.0000	71.0000	0.0139	0.0278	0.0139	0.0274	0.0278	0.0278	0.0141	0.0139	0.0278	0.0141
E1	16561	stuck open	3	5	16547	None	None	96.0000	89.0000	85.0000	88.0000	86.0000	86.0000	86.0000	87.0000	84.0000	84.0000	0.1562	0.0899	0.0824	0.0795	0.0814	0.1047	0.1017	0.1034	0.1190	0.1071
E2	21741	stuck closed	3	5	1740	None	None	153.0000	118.5000	108.0000	97.0000	100.0000	95.5000	97.0000	94.0000	95.0000	97.0000	0.2075	0.1435	0.1667	0.0928	0.1100	0.0733	0.0928	0.0745	0.1053	0.1340
E7	22201	stuck closed	7.5	10	2200	None	None	181.0000	162.0000	144.0000	137.0000	145.0000	144.5000	135.0000	132.0000	134.0000	132.0000	0.1506	0.1173	0.1059	0.1022	0.1310	0.1869	0.1926	0.0833	0.1045	0.1231
E9	28670	stuck open	8.5	10	28669	None	None	178.0000	152.0000	150.0000	162.0000	151.0000	141.0000	148.0000	151.0000	137.0000	128.0000	0.1629	0.1250	0.1133	0.1173	0.1258	0.1418	0.1250	0.1854	0.1752	0.1641
