machine	fault_type	severity	C1	gC1	V1	gV1	recording_date
1.5kW	interturn	0	1	0.00504577	1	0.193339	2022-01-25
1.5kW	interturn	2.34	1.00887	0.00404546	1.17693	0.170113	2022-01-25
1.5kW	interturn	4.57	1.01147	0.00151211	1.85698	0.246482	2022-01-25
1.5kW	interturn	16.08	1.0126	0.00166246	4.47022	0.208625	2022-01-25
1.5kW	intercoil	0	1	0.00504577	1	0.193339	2022-01-25
1.5kW	intercoil	7.02	0.99839	0.00232313	3.10453	0.130566	2022-01-25
1.5kW	intercoil	13.12	0.996744	0.00176386	3.68652	0.148068	2022-01-25
1.5kW	intercoil	37.66	0.996156	0.00285003	4.05849	0.142449	2022-01-25
3.0kW	interturn	0	1	0.00192733	1	0.0324789	2022-01-25
3.0kW	interturn	2.65	1.00543	0.00223169	1.00196	0.0568548	2022-01-25
3.0kW	interturn	5.16	1.00212	0.00273089	0.977114	0.0570843	2022-01-25
3.0kW	interturn	17.86	1.00506	0.00196964	8.30221	0.0786949	2022-01-25
3.0kW	intercoil	0	1	0.00192733	1	0.0324789	2022-01-25
