v_bus	t_amb	ron0_mohm	rth	i_design	sw_share	output_drop	binding
12.0	85.0	4.0	3.0	20.0	0.0	0.00340732954204237	電圧
12.0	85.0	4.0	3.0	20.0	0.25	0.00340732954204237	電圧
12.0	85.0	4.0	3.0	20.0	0.5	0.00340732954204237	電圧
12.0	85.0	4.0	3.0	20.0	0.75	0.00340732954204237	電圧
12.0	85.0	4.0	3.0	40.0	0.0	0.006791489178442467	電圧
12.0	85.0	4.0	3.0	40.0	0.25	0.006791489178442467	電圧
12.0	85.0	4.0	3.0	40.0	0.5	0.006791489178442467	電圧
12.0	85.0	4.0	3.0	40.0	0.75	0.006791489178442467	電圧
12.0	85.0	4.0	3.0	60.0	0.0	0.010152714733806245	電圧
12.0	85.0	4.0	3.0	60.0	0.25	0.010152714733806245	電圧
12.0	85.0	4.0	3.0	60.0	0.5	0.07141544664199889	電圧
12.0	85.0	4.0	6.0	20.0	0.0	0.00340732954204237	電圧
12.0	85.0	4.0	6.0	20.0	0.25	0.00340732954204237	電圧
12.0	85.0	4.0	6.0	20.0	0.5	0.00340732954204237	電圧
12.0	85.0	4.0	6.0	20.0	0.75	0.00340732954204237	電圧
12.0	85.0	4.0	6.0	40.0	0.0	0.006791489178442467	電圧
12.0	85.0	4.0	6.0	40.0	0.25	0.006791489178442467	電圧
12.0	85.0	4.0	6.0	40.0	0.5	0.006791489178442467	電圧
12.0	85.0	4.0	6.0	60.0	0.0	0.08944793123205996	電圧
12.0	85.0	4.0	6.0	60.0	0.25	0.10784481891317105	熱
12.0	85.0	4.0	6.0	60.0	0.5	0.10784481891317116	熱
12.0	85.0	4.0	12.0	20.0	0.0	0.00340732954204237	電圧
12.0	85.0	4.0	12.0	20.0	0.25	0.00340732954204237	電圧
12.0	85.0	4.0	12.0	20.0	0.5	0.00340732954204237	電圧
12.0	85.0	4.0	12.0	20.0	0.75	0.00340732954204237	電圧
12.0	85.0	4.0	12.0	40.0	0.0	0.03421368632612509	電圧
12.0	85.0	4.0	12.0	40.0	0.25	0.1078448189131711	熱
12.0	85.0	4.0	12.0	40.0	0.5	0.10784481891317121	熱
12.0	85.0	4.0	12.0	60.0	0.0	0.1078448189131711	熱
12.0	85.0	4.0	12.0	60.0	0.25	0.10784481891317116	熱
12.0	85.0	9.0	3.0	20.0	0.0	0.00763393649606775	電圧
12.0	85.0	9.0	3.0	20.0	0.25	0.00763393649606775	電圧
12.0	85.0	9.0	3.0	20.0	0.5	0.00763393649606775	電圧
12.0	85.0	9.0	3.0	20.0	0.75	0.00763393649606775	電圧
12.0	85.0	9.0	3.0	40.0	0.0	0.015152059685788366	電圧
12.0	85.0	9.0	3.0	40.0	0.25	0.015152059685788366	電圧
12.0	85.0	9.0	3.0	40.0	0.5	0.07141544664199878	電圧
12.0	85.0	9.0	3.0	60.0	0.0	0.1078448189131711	熱
12.0	85.0	9.0	3.0	60.0	0.25	0.1078448189131711	熱
12.0	85.0	9.0	6.0	20.0	0.0	0.00763393649606775	電圧
12.0	85.0	9.0	6.0	20.0	0.25	0.00763393649606775	電圧
12.0	85.0	9.0	6.0	20.0	0.5	0.00763393649606775	電圧
12.0	85.0	9.0	6.0	20.0	0.75	0.03636226810585874	電圧
12.0	85.0	9.0	6.0	40.0	0.0	0.08944793123205991	電圧
12.0	85.0	9.0	6.0	40.0	0.25	0.1078448189131711	熱
12.0	85.0	9.0	6.0	40.0	0.5	0.1078448189131711	熱
12.0	85.0	9.0	6.0	60.0	0.0	0.10784481891317116	熱
12.0	85.0	9.0	6.0	60.0	0.25	0.1078448189131711	熱
12.0	85.0	9.0	12.0	20.0	0.0	0.00763393649606775	電圧
12.0	85.0	9.0	12.0	20.0	0.25	0.00763393649606775	電圧
12.0	85.0	9.0	12.0	20.0	0.5	0.07141544664199878	電圧
12.0	85.0	9.0	12.0	40.0	0.0	0.1078448189131711	熱
12.0	85.0	9.0	12.0	40.0	0.25	0.10784481891317121	熱
12.0	85.0	9.0	12.0	60.0	0.0	0.1078448189131711	熱
12.0	125.0	4.0	3.0	20.0	0.0	0.00340732954204237	電圧
12.0	125.0	4.0	3.0	20.0	0.25	0.00340732954204237	電圧
12.0	125.0	4.0	3.0	20.0	0.5	0.00340732954204237	電圧
12.0	125.0	4.0	3.0	20.0	0.75	0.00340732954204237	電圧
12.0	125.0	4.0	3.0	40.0	0.0	0.006791489178442467	電圧
12.0	125.0	4.0	3.0	40.0	0.25	0.006791489178442467	電圧
12.0	125.0	4.0	3.0	40.0	0.5	0.006791489178442467	電圧
12.0	125.0	4.0	3.0	60.0	0.0	0.04019384483834709	電圧
12.0	125.0	4.0	3.0	60.0	0.25	0.10784481891317099	熱
12.0	125.0	4.0	3.0	60.0	0.5	0.1078448189131711	熱
12.0	125.0	4.0	6.0	20.0	0.0	0.00340732954204237	電圧
12.0	125.0	4.0	6.0	20.0	0.25	0.00340732954204237	電圧
12.0	125.0	4.0	6.0	20.0	0.5	0.00340732954204237	電圧
12.0	125.0	4.0	6.0	20.0	0.75	0.00340732954204237	電圧
12.0	125.0	4.0	6.0	40.0	0.0	0.006791489178442467	電圧
12.0	125.0	4.0	6.0	40.0	0.25	0.10784481891317121	熱
12.0	125.0	4.0	6.0	40.0	0.5	0.10784481891317116	熱
12.0	125.0	4.0	6.0	60.0	0.0	0.10784481891317116	熱
12.0	125.0	4.0	6.0	60.0	0.25	0.1078448189131711	熱
12.0	125.0	4.0	12.0	20.0	0.0	0.00340732954204237	電圧
12.0	125.0	4.0	12.0	20.0	0.25	0.00340732954204237	電圧
12.0	125.0	4.0	12.0	20.0	0.5	0.00340732954204237	電圧
12.0	125.0	4.0	12.0	40.0	0.0	0.10784481891317121	熱
12.0	125.0	4.0	12.0	40.0	0.25	0.10784481891317116	熱
12.0	125.0	4.0	12.0	60.0	0.0	0.10784481891317121	熱
12.0	125.0	9.0	3.0	20.0	0.0	0.00763393649606775	電圧
12.0	125.0	9.0	3.0	20.0	0.25	0.00763393649606775	電圧
12.0	125.0	9.0	3.0	20.0	0.5	0.00763393649606775	電圧
12.0	125.0	9.0	3.0	20.0	0.75	0.00763393649606775	電圧
12.0	125.0	9.0	3.0	40.0	0.0	0.04019384483834704	電圧
12.0	125.0	9.0	3.0	40.0	0.25	0.10784481891317099	熱
12.0	125.0	9.0	3.0	40.0	0.5	0.1078448189131711	熱
12.0	125.0	9.0	3.0	60.0	0.0	0.10784481891317116	熱
12.0	125.0	9.0	3.0	60.0	0.25	0.10784481891317116	熱
12.0	125.0	9.0	6.0	20.0	0.0	0.00763393649606775	電圧
12.0	125.0	9.0	6.0	20.0	0.25	0.00763393649606775	電圧
12.0	125.0	9.0	6.0	20.0	0.5	0.00763393649606775	電圧
12.0	125.0	9.0	6.0	40.0	0.0	0.10784481891317121	熱
12.0	125.0	9.0	6.0	40.0	0.25	0.10784481891317121	熱
12.0	125.0	9.0	6.0	60.0	0.0	0.10784481891317121	熱
12.0	125.0	9.0	12.0	20.0	0.0	0.04019384483834704	電圧
12.0	125.0	9.0	12.0	20.0	0.25	0.10784481891317099	熱
12.0	125.0	9.0	12.0	20.0	0.5	0.1078448189131711	熱
12.0	125.0	9.0	12.0	40.0	0.0	0.10784481891317116	熱
12.0	125.0	9.0	12.0	60.0	0.0	0.10784481891317116	熱
14.0	85.0	4.0	3.0	20.0	0.0	0.0029219922851576596	電圧
14.0	85.0	4.0	3.0	20.0	0.25	0.0029219922851576596	電圧
14.0	85.0	4.0	3.0	20.0	0.5	0.0029219922851576596	電圧
14.0	85.0	4.0	3.0	20.0	0.75	0.0029219922851576596	電圧
14.0	85.0	4.0	3.0	40.0	0.0	0.0058269368902468255	電圧
14.0	85.0	4.0	3.0	40.0	0.25	0.0058269368902468255	電圧
14.0	85.0	4.0	3.0	40.0	0.5	0.0058269368902468255	電圧
14.0	85.0	4.0	3.0	40.0	0.75	0.0058269368902468255	電圧
14.0	85.0	4.0	3.0	60.0	0.0	0.008714982757150769	電圧
14.0	85.0	4.0	3.0	60.0	0.25	0.008714982757150769	電圧
14.0	85.0	4.0	3.0	60.0	0.5	0.07141544664199889	電圧
14.0	85.0	4.0	6.0	20.0	0.0	0.0029219922851576596	電圧
14.0	85.0	4.0	6.0	20.0	0.25	0.0029219922851576596	電圧
14.0	85.0	4.0	6.0	20.0	0.5	0.0029219922851576596	電圧
14.0	85.0	4.0	6.0	20.0	0.75	0.0029219922851576596	電圧
14.0	85.0	4.0	6.0	40.0	0.0	0.0058269368902468255	電圧
14.0	85.0	4.0	6.0	40.0	0.25	0.0058269368902468255	電圧
