age_years	tests	steering_fail	steer_rate	eps_fail	eps_rate
0	13169	6	0.00046	0	0.000000
1	29186	22	0.00075	0	0.000000
2	1255363	1082	0.00086	17	0.000014
3	1505385	1632	0.00108	48	0.000032
4	1573727	3172	0.00202	70	0.000044
5	1893325	8623	0.00455	100	0.000053
6	2158456	17375	0.00805	112	0.000052
7	2125947	19664	0.00925	121	0.000057
8	2358530	32436	0.01375	200	0.000085
9	2307159	43097	0.01868	226	0.000098
10	2163844	48837	0.02257	342	0.000158
11	1921416	51803	0.02696	501	0.000261
12	1652591	46181	0.02794	433	0.000262
13	1414219	43303	0.03062	418	0.000296
14	1297209	43754	0.03373	296	0.000228
15	1207595	40081	0.03319	370	0.000306
16	937477	31891	0.03402	282	0.000301
17	882801	30864	0.03496	328	0.000372
18	719036	25229	0.03509	343	0.000477
19	540034	19645	0.03638	238	0.000441
20	409797	17610	0.04297	205	0.000500
21	312272	13533	0.04334	103	0.000330
22	228491	9295	0.04068	67	0.000293
23	153681	6031	0.03924	34	0.000221
24	101263	3780	0.03733	9	0.000089
25	74626	2855	0.03826	1	0.000013
26	57240	2031	0.03548	8	0.000140
27	47111	1662	0.03528	5	0.000106
28	34721	1357	0.03908	4	0.000115
29	27289	1042	0.03818	2	0.000073

make	tests	steering_fail	steer_rate
RENAULT	848813	44018	0.05186
JEEP	63027	2730	0.04331
NISSAN	1481026	63206	0.04268
VAUXHALL	2508017	86458	0.03447
MITSUBISHI	243276	8127	0.03341
CITROEN	876178	24566	0.02804
KIA	917768	23183	0.02526
FORD	3878984	84415	0.02176
HYUNDAI	850929	17323	0.02036
PEUGEOT	1239185	25053	0.02022
SEAT	500165	9894	0.01978
DACIA	193706	3796	0.01960
LAND ROVER	820340	16027	0.01954
MAZDA	472228	8770	0.01857
ALFA ROMEO	59452	1098	0.01847
FIAT	689943	12682	0.01838
VOLVO	536669	9709	0.01809
HONDA	801731	13384	0.01669
VOLKSWAGEN	2737739	44723	0.01634
JAGUAR	304762	4038	0.01325
SUBARU	50709	436	0.00860
SKODA	724427	5965	0.00823
MINI	727850	5785	0.00795
SUZUKI	387158	2804	0.00724
MG	145061	1035	0.00713
SMART (MCC)	63649	423	0.00665
MERCEDES-BENZ	1537104	9870	0.00642
AUDI	1570537	9935	0.00633
TOYOTA	1552908	9411	0.00606
BMW	1675117	8786	0.00525
PORSCHE	161480	595	0.00368
LEXUS	151862	399	0.00263
TESLA	121907	251	0.00206
