group	unit	fire_abs_index	fire_time	nearest_eis_dt_seconds
ES10	ES10C1	64468	2015-04-26 16:16:20	158116
ES10	ES10C2	67695	2015-05-01 13:06:21	259482
ES10	ES10C3	43225	2015-02-25 01:17:30	640048
ES10	ES10C4	43223	2015-02-25 01:13:29	639808
ES10	ES10C5	53727	2015-03-11 16:24:41	1904080
ES10	ES10C6	64470	2015-04-26 16:20:21	157876
ES10	ES10C7	43223	2015-02-25 01:13:29	639808
ES12	ES12C1	32100	2015-02-06 08:57:00	974095
ES12	ES12C2	32100	2015-02-06 08:57:00	974095
ES12	ES12C3	54142	2015-03-12 16:44:11	1989670
ES12	ES12C4	52691	2015-03-10 16:04:39	1814498
ES12	ES12C5	32099	2015-02-06 08:54:59	974215
ES12	ES12C6	32099	2015-02-06 08:54:59	974215
ES12	ES12C7	32102	2015-02-06 09:00:59	973855
ES12	ES12C8	54142	2015-03-12 16:44:11	1989670
ES14	ES14C1	30025	2015-02-03 11:46:51	1225062
ES14	ES14C2	32090	2015-02-06 08:37:00	977253
ES14	ES14C3	32090	2015-02-06 08:37:00	977253
ES14	ES14C4	29403	2015-02-02 15:02:48	1299704
ES14	ES14C5	32097	2015-02-06 08:51:00	976413
ES14	ES14C6	30025	2015-02-03 11:46:51	1225062
ES14	ES14C7	32097	2015-02-06 08:51:00	976413
ES14	ES14C8	32031	2015-02-06 06:39:00	984333
