campno	make	model	year	potaff	conditional	basis	corrective_action
14V286000	FORD	EXPLORER	2013	179027	1	operating history	Ford will notify owners, and dealers will update the Power Steering Control Module (PSCM) software, free of charge. If a vehicle shows a history of a loss of motor position sensor signal when the vehicle is brought in for the recall remedy, its steering rack assembly will be replaced, free of charge. The recall began on July 23, 2014. Owners may contact Ford customer service at 1-800-392-3673. Ford's number for this recall is 14S06.
19V086000	CADILLAC	CTS	2016	26772	0		GM will notify owners, and dealers will replace the power steering gear assembly, free of charge. The recall began June 13, 2019. GM' number for this recall is N182182760.
16V160000	CHEVROLET	CAPRICE POLICE PURSUIT	2014	6280	0		GM will notify owners, and dealers will replace the steering gear assembly, free of charge. The recall began on May 11, 2016. Owners will receive a second notice when remedy parts become available. Owners may contact Chevrolet customer service at 1-800-222-1020. GM's number for this recall is 22010.
17V382000	CHEVROLET	CHEVEROLET SS	2015	6204	1	unstated	GM will notify owners, and dealers will inspect the steering gear assembly, replacing it as necessary, free of charge. The recall began August 2, 2017. Owners may contact Chevrolet customer service at 1-800-222-1020. GM's number for this recall is 17248.
20V254000	CHEVROLET	CHEVEROLET SS	2015	2281	0		GM will notify owners, and dealers will replace the steering gear assembly, free of charge. The recall began May 26, 2020. Owners may contact Chevrolet customer service at 1-800-222-1020. GM's number for this recall is N192285350.
25V175000	CADILLAC	CTS	2016	934	0		Dealers will replace the power steering gear assembly, free of charge. Owner notification letters were mailed April 15, 2025. Owners may contact Cadilac customer service at 1-800-333-4223 or Chevrolet customer service at 1-800-222-1020. GM's number for this recall is N252497020.
17V265000	CHEVROLET	CAPRICE POLICE PURSUIT	2016	823	1	unstated	GM will notify owners, and dealers will inspect the steering gear assembly, replacing it as necessary, free of charge. The recall began May 15, 2017. Owners may contact Chevrolet customer service at 1-800-222-1020.
19V801000	CHEVROLET	CHEVEROLET SS	2016	476	0		GM will notify owners, and dealers will replace the steering gear assembly, free of charge. The recall began December 27, 2019. Owners may contact Chevrolet customer service at 1-800-222-1020 or GM customer service at 1-586-596-1733. GM's number for this recall is N192265980.
19V812000	RAM	1500	2019	193	0		Chrysler will notify owners, and dealers will replace the EPS gear assembly, free of charge. The recall began December 12, 2019. Owners may contact FCA US customer service at 1-800-853-1403. FCA's number for this recall is VB8.
20V515000	CHEVROLET	CAPRICE POLICE PURSUIT	2014	95	1	manufacturing lot	GM will notify owners, and dealers will inspect the steering gear assembly, replacing any that are not of the approved part numbers, free of charge. The recall began September 23, 2020. Owners may contact Chevrolet customer service at 1-800-222-1020. GM's number for this recall is N202306620.
16V108000	BUICK	REGAL	2016	74	0		GM will notify owners, and dealers will replace the electric belt drive rack and pinion steering gear assembly, free of charge. The recall began on March 21, 2016. Owners may contact Buick customer service at 1-800-521-7300. GM's number for this recall is 21510.
