case_id	source_type	source_url	manufacturer	model	model_years	public_signal	driver_visible_pain	scenario_context	scale_signal	reported_or_suspected_cause	remedy_or_action	proxy_feature_hint	what_it_supports	what_it_does_not_prove	confidence
MKT001	NHTSA EPS safety report	https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/13501_812575_electricpowersteeringreport.pdf	Multiple	Multiple	Multiple	EPS-related VOQs and recalls reviewed	Loss of expected assist	Driver reports EPS did not provide steering assist when expected	573 EPS-related VOQs reviewed	Many VOQs did not specify a cause	Not applicable	driver_visible_pain_taxonomy	Market pain taxonomy and complaint wording	Specific EPS supplier root cause	High
MKT002	NHTSA EPS safety report	https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/13501_812575_electricpowersteeringreport.pdf	Multiple	Multiple	Multiple	Recall causal factor breakdown	Loss of assist / actuator concern	EPS recall campaigns include actuator and controlled component issues	Aggregate recall analysis	Controlled component failures and actuator failures appear in recall causal factors	Not applicable	failure_scenario_taxonomy	Public scenario taxonomy	Real-time detectability from public data	High
MKT003	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2011/INCLA-EA11014-3103.PDF	General Motors	Saturn ION	2004-2007	Sudden loss of power steering assist	Increased steering effort	Can occur at any time while driving; greater effort especially at low speeds	334728 population; 4787 total complaints; 30560 warranty claims	Power steering motor, torque sensor assembly, or controller unit faults	Recall 14V-153; service bulletins / component replacement	low_speed_high_effort	Public pain and scale signal	Which ECU evidence would have predicted it	High
MKT004	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2011/INCLA-EA11014-3103.PDF	General Motors	Recall 14V-153 affected EPS vehicles	2004-2010	Safety defect may result in sudden loss of assist	Increased steering effort	Manual steering remains but effort rises at low vehicle speeds	Approx 1340447 vehicles in DIR	Power steering motor, torque sensor, or controller faults	Recall / repair procedures by bulletin	low_speed_high_effort	Public population scale	Vehicle-specific diagnostic gaps	High
MKT005	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2011/INCLA-EA11014-3103.PDF	Chevrolet	HHR non-turbo	2009-2010	Included in GM EPS repair bulletin	Loss of assist	Repair bulletin covers replacing power steering motor for listed vehicles	Part of GM recall bulletin scope	EPS motor-related repair path	Power steering motor replacement	low_speed_high_effort	Reusable public case category	Exact incident count by model	Medium
MKT006	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2011/INCLA-EA11014-3103.PDF	Chevrolet	Cobalt	2010	Included in GM EPS repair bulletin	Loss of assist	Repair bulletin covers replacing power steering motor for listed vehicles	Part of GM recall bulletin scope	EPS motor-related repair path	Power steering motor replacement	low_speed_high_effort	Reusable public case category	Exact incident count by model	Medium
MKT007	NHTSA recall FAQ	https://static.nhtsa.gov/odi/rcl/2019/RMISC-19V801-1019.pdf	Chevrolet	Caprice	2014-2016	Loss of EPS assist while driving or idling	Increased steering effort / warning	Manual steering retained; MIL and chime inform driver	Recall N192265980	Fretting corrosion connector between EPS module and torque sensor	Replace power steering gear assembly	warning_plus_low_speed_effort	Driver symptom taxonomy	Internal supplier case frequency	High
MKT008	NHTSA recall FAQ	https://static.nhtsa.gov/odi/rcl/2019/RMISC-19V801-1019.pdf	Chevrolet	SS	2014-2016	Loss of EPS assist while driving or idling	Increased steering effort / warning	Manual steering retained; MIL and chime inform driver	Recall N192265980	Fretting corrosion connector between EPS module and torque sensor	Replace power steering gear assembly	warning_plus_low_speed_effort	Driver symptom taxonomy	Internal supplier case frequency	High
MKT009	NHTSA recall bulletin	https://static.nhtsa.gov/odi/rcl/2020/RCSB-20V254-5378.pdf	Chevrolet	Caprice PPV	2015-2016	Loss of EPS assist while driving or idling	Increased steering effort / MIL	Manual steer retained; risk higher at low speeds	Recall N192285350	Fretting corrosion on connector between EPS module and torque sensor	Replace steering gear assembly with gold-plated terminals	warning_plus_low_speed_effort	Connector / warning scenario	Whether this is common across EPS suppliers	High
MKT010	NHTSA recall bulletin	https://static.nhtsa.gov/odi/rcl/2020/RCSB-20V254-5378.pdf	Chevrolet	SS	2015-2016	Loss of EPS assist while driving or idling	Increased steering effort / MIL	Manual steer retained; risk higher at low speeds	Recall N192285350	Fretting corrosion on connector between EPS module and torque sensor	Replace steering gear assembly with gold-plated terminals	warning_plus_low_speed_effort	Connector / warning scenario	Whether this is common across EPS suppliers	High
MKT011	NHTSA recall FAQ	https://static.nhtsa.gov/odi/rcl/2019/RMISC-19V086-4099.pdf	Cadillac	ATS	2016-2017	Loss of EPS assist may last ignition cycle	Increased steering effort / DIC message	Assist may return after restart; condition can recur	Recall N182182760	Not specified in FAQ	Replace power steering gear assembly	intermittent_ignition_cycle	Intermittent driver pain taxonomy	Root cause from public FAQ	Medium
MKT012	NHTSA recall FAQ	https://static.nhtsa.gov/odi/rcl/2019/RMISC-19V086-4099.pdf	Cadillac	CTS	2016-2018	Loss of EPS assist may last ignition cycle	Increased steering effort / DIC message	Assist may return after restart; condition can recur	Recall N182182760	Not specified in FAQ	Replace power steering gear assembly	intermittent_ignition_cycle	Intermittent driver pain taxonomy	Root cause from public FAQ	Medium
MKT013	NHTSA recall FAQ	https://static.nhtsa.gov/odi/rcl/2019/RMISC-19V086-4099.pdf	Chevrolet	Camaro	2017	Loss of EPS assist may last ignition cycle	Increased steering effort / DIC message	Assist may return after restart; condition can recur	Recall N182182760	Not specified in FAQ	Replace power steering gear assembly	intermittent_ignition_cycle	Intermittent driver pain taxonomy	Root cause from public FAQ	Medium
MKT014	NHTSA recall FAQ	https://static.nhtsa.gov/odi/rcl/2019/RMISC-19V086-4099.pdf	Chevrolet	Corvette	2017	Loss of EPS assist may last ignition cycle	Increased steering effort / DIC message	Assist may return after restart; condition can recur	Recall N182182760	Not specified in FAQ	Replace power steering gear assembly	intermittent_ignition_cycle	Intermittent driver pain taxonomy	Root cause from public FAQ	Medium
MKT015	NHTSA recall bulletin	https://static.nhtsa.gov/odi/rcl/2025/RCRIT-25V175-4538.pdf	Cadillac	CTS	2016-2018	Loss of EPS assist while driving	Increased effort	Assist loss may last ignition cycle and return after restart	Recall N252497020	Not specified in excerpt	Replace power steering gear assembly	intermittent_ignition_cycle	Newer GM EPS pain case	Internal diagnosis value	Medium
MKT016	NHTSA recall bulletin	https://static.nhtsa.gov/odi/rcl/2025/RCRIT-25V175-4538.pdf	Cadillac	ATS	2017-2018	Loss of EPS assist while driving	Increased effort	Assist loss may last ignition cycle and return after restart	Recall N252497020	Not specified in excerpt	Replace power steering gear assembly	intermittent_ignition_cycle	Newer GM EPS pain case	Internal diagnosis value	Medium
MKT017	NHTSA recall bulletin	https://static.nhtsa.gov/odi/rcl/2025/RCRIT-25V175-4538.pdf	Chevrolet	Camaro	2017-2018	Loss of EPS assist while driving	Increased effort	Assist loss may last ignition cycle and return after restart	Recall N252497020	Not specified in excerpt	Replace power steering gear assembly	intermittent_ignition_cycle	Newer GM EPS pain case	Internal diagnosis value	Medium
MKT018	NHTSA recall bulletin	https://static.nhtsa.gov/odi/rcl/2025/RCRIT-25V175-4538.pdf	Chevrolet	Corvette	2017-2018	Loss of EPS assist while driving	Increased effort	Assist loss may last ignition cycle and return after restart	Recall N252497020	Not specified in excerpt	Replace power steering gear assembly	intermittent_ignition_cycle	Newer GM EPS pain case	Internal diagnosis value	Medium
MKT019	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2014/INCLA-PE14030-7526.PDF	Ford	Fusion	2010-2012	EPAS can suddenly fail while driving	Increased steering effort / crash allegations	Some complaints alleged increased efforts and loss of control	848600 population across Fusion/MKZ/Milan; 2584 complaints; 9967 warranty claims	TRW Gen I EPAS issues; DTCs include low/high voltage, high PSCM temperature, high friction, etc.	Ford recall 15V-340 for part of population	voltage_temperature_friction_context	Public evidence that EPS already has many DTC/context modes	Whether extra public proxy prevents failure	High
MKT020	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2014/INCLA-PE14030-7526.PDF	Lincoln	MKZ	2010-2012	EPAS can suddenly fail while driving	Increased steering effort / crash allegations	Some complaints alleged increased efforts and loss of control	Part of 848600 population	TRW Gen I EPAS issues and DTC-detectable modes	Ford recall 15V-340 for part of population	voltage_temperature_friction_context	Public evidence that EPS already has many DTC/context modes	Whether extra public proxy prevents failure	High
MKT021	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2014/INCLA-PE14030-7526.PDF	Mercury	Milan	2010-2011	EPAS can suddenly fail while driving	Increased steering effort / crash allegations	Some complaints alleged increased efforts and loss of control	Part of 848600 population	TRW Gen I EPAS issues and DTC-detectable modes	Ford recall 15V-340 for part of population	voltage_temperature_friction_context	Public evidence that EPS already has many DTC/context modes	Whether extra public proxy prevents failure	High
MKT022	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2016/INOA-PE16011-5279.PDF	Ford	Fusion	2010	Sudden loss of power assist	Difficult to steer / warning light	Drivers report "power steering assist fault"; low and high speed; sometimes intermittent	547 reports; 12 crash allegations; 4 injuries	Scope/frequency under investigation	Preliminary Evaluation opened	warning_intermittent_speed_context	Driver symptom vocabulary and intermittent scenario	Exact root cause in all cases	High
MKT023	NHTSA ODI investigation	https://static.nhtsa.gov/odi/inv/2017/INCLA-EA17004-10108.pdf	Ford	Fusion / Fusion Hybrid	2010	Sudden loss of power assist	Increased effort / crash allegations	Power steering assist failed while driving at various speeds with no warning	5676 total incidents; 59 crashes; 23 injuries	Alleged loss of assist; EA closed without manufacturer action	No further recall action	intermittent_no_warning	High-scale public pain case	Specific corrective product concept	High
MKT024	NHTSA recall acknowledgement	https://static.nhtsa.gov/odi/rcl/2022/RCAK-22V818-4620.pdf	Tesla	Model S	2017-2021	Loss of power steering assist on rough roads/potholes	Greater effort especially at low speed	Rough roads or potholes can trigger EPAS assist loss	40168 units affected across Model S/X	EPAS calibration/software issue	OTA software update recalibrates EPAS	rough_road_pothole_context	Road-context pain and OTA remedy pattern	General EPS failure prediction	High
MKT025	NHTSA recall acknowledgement	https://static.nhtsa.gov/odi/rcl/2022/RCAK-22V818-4620.pdf	Tesla	Model X	2017-2021	Loss of power steering assist on rough roads/potholes	Greater effort especially at low speed	Rough roads or potholes can trigger EPAS assist loss	40168 units affected across Model S/X	EPAS calibration/software issue	OTA software update recalibrates EPAS	rough_road_pothole_context	Road-context pain and OTA remedy pattern	General EPS failure prediction	High
MKT026	WardsAuto / NHTSA-based report	https://www.wardsauto.com/news/archive-auto-tesla-recalls-376k-vehicles-loss-power-steering-assist-nhtsa-modelY-model3/741051/	Tesla	Model 3	2023	Sudden loss of power steering assist after coming to a stop	Greater effort / inability to complete turn	Stop then start moving again; driver-visible assist loss	Up to 376241 vehicles; 2388 additional complaints cited	PCB overstress / overvoltage breakdown of motor drive components	OTA software update 2023.38.4 or later	stop_start_low_speed_context	Low-speed driver pain and OTA update pattern	Supplier diagnostic evidence value	Medium
MKT027	WardsAuto / NHTSA-based report	https://www.wardsauto.com/news/archive-auto-tesla-recalls-376k-vehicles-loss-power-steering-assist-nhtsa-modelY-model3/741051/	Tesla	Model Y	2023	Sudden loss of power steering assist after coming to a stop	Greater effort / inability to complete turn	Stop then start moving again; driver-visible assist loss	Up to 376241 vehicles; 2388 additional complaints cited	PCB overstress / overvoltage breakdown of motor drive components	OTA software update 2023.38.4 or later	stop_start_low_speed_context	Low-speed driver pain and OTA update pattern	Supplier diagnostic evidence value	Medium
MKT028	NHTSA recall dealer document	https://static.nhtsa.gov/odi/rcl/2024/RCMN-24V412-9291.pdf	Hyundai	Tucson	2024	MDPS electric power pack PCB contamination	MIL and loss of assist during operation	Dealer hold / remedy under development at initial notice	Affected production dates 04/29/2024-05/06/2024	Contaminated flux causing electrical short	Remedy under development in dealer document	mil_loss_assist_supply_chain	Public supplier/component scenario	Failure detectability from public data	High
