campno	make	is_eps	markers	excerpt
10V046000	AUTOCAR	0	degradation_over_time	AUTOCAR IS RECALLING CERTAIN MODEL YEAR 2008-2009 ACX HEAVY DUTY CLASS 8 VEHICLES. THE AFFECTED VEHICLES MAY EXPERIENCE A FATIGUE FAILURE OF THE STEERING GEAR MOUNTING BRACKET. OVER TIME, THIS FAILURE MAY CAUSE CRACKS THAT WILL RESULT IN UNDESIRABLE MOVEMENT OF THE STEERING GEAR MOUNTED TO THAT BRAC
10V174000	ACURA	0	degradation_over_time	HONDA IS RECALLING CERTAIN MODEL YEAR 2004 THROUGH 2008 ACURA TSX PASSENGER VEHICLES MANUFACTURED BETWEEN SEPTEMBER 25, 2002 AND FEBRUARY 13, 2008. PROLONGED HIGH UNDER HOOD TEMPERATURES MAY CAUSE THE POWER STEERING HOSE TO DETERIORATE PREMATURELY AND MAY CAUSE THE HOSE TO CRACK AND LEAK POWER STEER
10V250000	SUZUKI	0	degradation_over_time	SUZUKI IS RECALLING CERTAIN MODEL YEAR MODEL YEAR 2006 GRAND VITARA AND MODEL YEAR 2005-2006 XL-7 VEHICLES. THE TENSION ADJUSTER PULLEY FOR THE DRIVE BELT THAT OPERATES THE POWER STEERING PUMP AND AIR CONDITIONER COMPRESSOR (IF EQUIPPED) HAS AN OUTER PORTION THAT IS MADE OF PLASTIC. REPEATED HEAT ST
10V259000	INTERNATIONAL	0	degradation_over_time	NAVISTAR IS RECALLING CERTAIN MODEL YEAR 2010 AND 2011 INTERNATIONAL 4300M, 8600, LONESTAR AND PROSTAR BRAND TRUCKS MANUFACTURED FROM MAY 6, 2009 THROUGH MAY 25, 2010. THE FASTENER THAT CLAMPS THE PITMAN ARM TO THE STEERING GEAR SHAFT MAY HAVE BEEN UNDERTORQUED UPON ASSEMBLY. AN UNDER TORQUE CONDITI
10V346000	LEXUS	0	degradation_over_time	TOYOTA IS RECALLING CERTAIN MODEL YEAR 2003-2007 LEXUS LX470 VEHICLES. THE CONSTRUCTION OF THE STEERING SHAFT IS SUCH THAT THE SNAP RING ON THE SHAFT MAY DISENGAGE WHEN THE VEHICLE EXPERIENCES AN UNUSUALLY SEVERE IMPACT TO THE FRONT WHEELS. IF THE SNAP RING BECOMES DISENGAGED AND THE STEERING WHEEL 
10V554000	NISSAN	0	degradation_over_time	NISSAN IS RECALLING CERTAIN MODEL YEAR 2002-2004 FRONTIER VEHICLES MANUFACTURED FROM JULY 9, 2001 THROUGH OCTOBER 20, 2004, AND MODEL YEAR 2002-2004, XTERRA VEHICLES MANUFACTURED FROM JULY 9, 2001, THROUGH JANUARY 6, 2005. OVER TIME CORROSION MAY FORM IN THE LOWER STEERING COLUMN JOINT AND LIMIT MOV
10V586000	INTERNATIONAL	0	degradation_over_time	NAVISTAR IS RECALLING CERTAIN MODEL YEAR 2011 INTERNATIONAL 7300, 7400, AND 7500 VEHICLES MANUFACTURED FROM JUNE 30, 2010, THROUGH OCTOBER 13, 2010. THESE VEHICLES WERE BUILT WITH AN INCORRECT STEERING SYSTEM DRAGLINK. DRIVERS MAY EXPERIENCE DEGRADED STEERING FEEL AND CONTROL, INCREASING THE RISK OF
11V244000	INFINITI	0	degradation_over_time	NISSAN IS RECALLING CERTAIN MODEL YEAR 1996-2004 PATHFINDER AND MODEL YEAR 1997-2003 INFINITI QX4 VEHICLES ORIGINALLY SOLD, OR CURRENTLY REGISTERED IN, CONNECTICUT, DELAWARE, IOWA, ILLINOIS, INDIANA, MASSACHUSETTS, MAINE, MARYLAND, MICHIGAN, MINNESOTA, MISSOURI, NEW HAMPSHIRE, NEW JERSEY, NEW YORK, 
11V374000	MACK	0	degradation_over_time	MACK TRUCKS IS RECALLING CERTAIN MODEL YEAR 2009-2012 MRU HEAVY TRUCKS MANUFACTURED FROM NOVEMBER 26, 2008, THROUGH APRIL 26, 2011. THE BOLTS USED TO MOUNT THE STEERING GEAR WERE NOT TIGHTENED TO SPECIFICATION. THE BOLTS CAN LOOSEN WHICH OVER TIME MAY CAUSE THE STEERING GEAR TO DISCONNECT FROM ITS M
12V118000	NABI	0	degradation_over_time	NORTH AMERICAN BUS INDUSTRIES (NABI) IS RECALLING CERTAIN MODEL YEAR 2011 AND 2012 416 TRANSIT BUSES MANUFACTURED FROM AUGUST 29, 2011, THROUGH FEBRUARY 19, 2012. THE VEHICLES HAVE A LOOSE CONNECTION IN THE JOINT BETWEEN THE STEERING PITMAN ARM AND THE STEERING DRAG LINK. THE JOINT MAY SEPARATE OVER
12V222000	HONDA	0	degradation_over_time	Honda is recalling certain model year 2007 and 2008 Acura TL and model year 2003-2007 Accord V6 vehicles. In May 2012, Honda filed a defect report to recall certain model year 2007 and 2008 Acura TL vehicles. In September 2012, Honda informed the agency that it was including an additional 573,147 ve
12V300000	PREVOST	0	degradation_over_time	PREVOST IS RECALLING CERTAIN MODEL YEAR 2012 VIP45, X3-45, AND XLII VEHICLES. THE STEERING GEARBOX BOLTS MAY BE TOO LONG TO HAVE BEEN SUFFICIENTLY TORQUED. OVER TIME, THE STEERING GEARBOX BOLTS MAY START TO LOOSEN, LEADING TO REDUCED STEERING FUNCTION, INCREASING THE RISK OF A CRASH. PREVOST WILL NO
12V324000	NABI	0	degradation_over_time	NORTH AMERICAN BUS INDUSTRIES (NABI) IS RECALLING CERTAIN MODEL YEAR 2003-2011 45CLFW TRANSIT BUSES MANUFACTURED FROM JULY 1, 2003, THROUGH DECEMBER 1, 2011. THE VEHICLES MAY HAVE A LOOSE CONNECTION IN THE JOINT BETWEEN THE STEERING PITMAN ARM AND A TAPERED SPLINED SHAFT ON THE STEERING GEAR. THE SP
12V422000	FORD	0	degradation_over_time	Ford is recalling certain model year 2013 F-53 motorhome stripped chassis vehicles manufactured from July 10, 2012 through July 13, 2012. Theses vehicles were assembled with incorrect steering gear adapter plate retention fasteners. Steering gear adapter plate fasteners could lead to torque loss in 
12V537000	TOYOTA	0	degradation_over_time	Toyota is recalling certain model year 2004-2009 Prius vehicles manufactured August 5, 2003, through March 30, 2009. The affected vehicles have a steering intermediate extension shaft assembly built with metal splines that complete the connection from the steering wheel to the steering gear. These s
12V550000	BMW	0	degradation_over_time	BMW is recalling certain model year 2009-2012 X5 xDrive 35d SAV diesel vehicles manufactured September 1, 2008, through November 15, 2012. The engine belt idler pulley bolt could loosen and break over time. If the engine belt idler pulley bolt breaks, the vehicle may unexpectedly lose power-assisted
12V586000	BLUE BIRD	0	degradation_over_time	Blue Bird is recalling certain 2013 model year Vision conventional school buses manufactured from August 27, 2012, to November 06, 2012. The castle nut that attaches the drag link to the steering arm may not have been torqued to the proper specifications. Improperly torqued drag link castle nuts cou
13V234000	JEEP	0	degradation_over_time	Chrysler Group LLC (Chrysler) is recalling certain model year 2012-2013 Jeep Wrangler vehicles equipped with a 3.6L engine and an automatic transmission and manufactured January 23, 2011, through February 23, 2013. The power steering line may contact and wear a hole in the transmission oil cooler li
14V829000	SPARTAN	0	degradation_over_time	Spartan Motors, Inc. (Spartan) is recalling certain model year 2015 K3 Chassis manufactured November 22, 2013, to October 28, 2014. The steering slip shaft, located between the steering column and steering gear, may prematurely wear. Premature wear of the steering slip shaft may increase the risk of
15V144000	TOYOTA	1	degradation_over_time	Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain model year 2015 Camry, Camry Hybrid, Highlander, and Highlander Hybrid, and 2014-2015 Rav4 vehicles. A component of the electric power steering (EPS) electronic control unit (ECU) may have been damaged during the manufacturing pr
15V146000	CHEVROLET	1	degradation_over_time	General Motors LLC (GM) is recalling certain model year 2015 Buick Encore vehicles manufactured November 27, 2014, to February 24, 2015, and 2015 Chevrolet Trax vehicles manufactured November 18, 2014, to February 17, 2015. The steering column assembly housing may contact the power steering printed 
15V523000	VOLVO	0	degradation_over_time	Volvo Trucks North America (Volvo) is recalling certain model year 2012-2016 VAH trucks manufactured January 31, 2011, to June 25, 2015, and equipped with a sealed drag link. In the affected trucks, the draglink ball socket boot may be damaged due to the angle of the ball stud. A damaged boot may al
16V366000	FCCC	0	degradation_over_time	Daimler Trucks North America LLC (DTNA) is recalling certain model year 2015-2016 FCCC XBP, XBR, XCM, XCR, XCL, and XCP trucks manufactured May 1, 2014, to June 16, 2015, equipped with certain ZF RL77 / 80EM independent front steering axles equipped with Bosch 8018 steering boxes. The boxes were man
16V385000	WINNEBAGO	0	degradation_over_time	Winnebago Industries, Inc (Winnebago) is recalling certain model year 2015-2016 Winnebago Tour and Itasca Ellipse motor homes manufactured August 29, 2014, to November 4, 2015 and built on a Freightliner chassis. In the affected vehicles, the steering box may have been manufactured with an incorrect
16V397000	TIFFIN	0	degradation_over_time	Tiffin Motorhomes is recalling certain model year 2014-2016 Allegro Phaeton and 2015-2016 Allegro Bus trucks manufactured October 1, 2014 to August 1, 2015, equipped with certain ZF RL77 / 80EM independent front steering axles equipped with Bosch 8018 steering boxes. The boxes were manufactured usin
16V406000	THOR MOTOR COACH	0	degradation_over_time	Thor Motor Coach (TMC) is recalling certain model year 2015-2016 Tuscany motor homes manufactured July 28, 2014, to July 27, 2015. The affected vehicles are built on a Freightliner Custom Chassis and have steering boxes that were manufactured using incorrect internal spacers, resulting in premature 
16V411000	GLAVAL BUS	0	degradation_over_time	Forest River, Inc. (Forest River) is recalling certain model year 2015 Glaval Synergy transit buses manufactured March 23, 2015, to April 29, 2015. The affected vehicles are built on a Freightliner Custom Chassis and have steering boxes that were manufactured using incorrect internal spacers, result
16V414000	NEWMAR	0	degradation_over_time	Newmar Corporation (Newmar) is recalling certain model year 2014-2016 Dutch Star motorhomes manufactured from June 5, 2014, through October 16, 2015, and built on a Freightliner chassis. In the affected vehicles, the steering box may have been manufactured with an incorrect spacer with insufficient 
16V716000	SUBARU	0	degradation_over_time	Subaru of America, Inc. (Subaru) is recalling certain model year 2017 Legacy and Outback vehicles manufactured September 21, 2016, to September 23, 2016. In the affected vehicles, the knee guard bracket may not be properly attached to the steering beam assembly. If the knee guard is not properly att
17V250000	MERCEDES-BENZ	0	degradation_over_time	Mercedes-Benz USA, LLC.(MBUSA) is recalling certain 2013-2016 G550 and G63 AMG vehicles and 2016 G65 AMG vehicles. The steering coupling may have been insufficiently tightened, resulting in the steering connection wearing. The steering coupling wear may cause a loss of steering, increasing the risk 
17V415000	LEXUS	0	degradation_over_time	Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2017 Lexus ES350 vehicles. The right-hand side tie rod lock nut may loosen over time. If the lock nut loosens, the tie rod may separate causing a loss of steering and increasing the risk of a crash. Toyota will notify owners, and
18V374000	BMW	0	driver_assistance	BMW of North America, LLC (BMW) is recalling certain 2018-2019 BMW X3 xDrive30i, X3 sDrive30i, and X3 M40i vehicles equipped with the "Active Lane Keeping Assistant" option. The steering wheel may be incompatible with the lane keeping assistant function and may not detect if the driver's hands are o
18V522000	FREIGHTLINER	0	degradation_over_time	Daimler Trucks North America, LLC (DTNA) is recalling certain 2018-2019 Freightliner Cascadia vehicles. Over time, the pitman arms may crack and fracture. If the pitman arm fractures there would be a loss of steering control, increasing the risk of a crash. DTNA will notify owners, and dealers will 
18V667000	SUZUKI	0	degradation_over_time	Suzuki Motor of America, Inc. (Suzuki) is recalling certain 2006 Suzuki Grand Vitara vehicles. The power steering pump belt tension adjuster pulley has an outer portion that is made of plastic. Repeated heat stress can cause the plastic material to deteriorate, causing pieces of the pulley to break 
18V699000	WESTERN STAR	0	degradation_over_time	Daimler Trucks North America, LLC (DTNA) is recalling certain 2019 Freightliner Cascadia and Western Star 5700 vehicles. The steering wheel on these vehicles may loosen over time and the steering wheel may detach from the steering column. If the steering wheel detaches, there would be a loss of vehi
18V945000	ARCIMOTO	0	degradation_over_time	Arcimoto Inc (Arcimoto) is recalling certain 2017-2018 FUV motorcycles. In the affected vehicles, the front suspension and steering system may loosen or wear, possibly resulting in a loss of steering control. A sudden loss of loss of steering control may increase the risk of a crash. Arcimoto has no
19V059000	GILLIG	0	degradation_over_time	Gillig LLC (Gillig) is recalling certain 2016-2018 Low Floor buses. The ball stud of the steering system draglink may not have been properly tightened. If the ball stud is insufficiently tightened, the ball stud may wear, resulting in reduced handling and stability, increasing the risk of crash. Gil
19V601000	BMW	0	degradation_over_time	BMW of North America, LLC (BMW) is recalling certain 2018-2019 BMW X1 sDrive28i, X1 xDrive28i, 2019 X2 xDrive28i, MINI Cooper S Convertible, Countryman, and John Cooper Works Countryman vehicles. The steering gear tie rod may have been assembled incorrectly, which may result in excessive wear of the
20V032000	ARCIMOTO	0	degradation_over_time	Arcimoto Inc. (Arcimoto) is recalling certain 2019 FUV motorcycles. During full right steering lock, the brake line may contact the steering main-link. The contact may wear through the hard brake line, causing a loss of braking ability and increasing the risk of a crash. Arcimoto will notify owners 
20V672000	MERCEDES-BENZ	1	degradation_over_time	Mercedes-Benz USA, LLC. (MBUSA) is recalling certain 2019 GLA250 vehicles. The engine compartment fusebox may come loose over time, potentially damaging fuses and disrupting certain vehicle functions such as engine, power steering assist, electronic stability control (ESP), and Active Brake Assist. 
21V229000	MERCEDES-BENZ	0	degradation_over_time	Mercedes-Benz USA, LLC (MBUSA) is recalling certain 2017 B250e, CLA250, 2017-2018 AMG CLA45, GLA250, and AMG GLA45 vehicles. The steering shaft bore hole for the universal joint bearing may allow excessive movement that, over time, could result in the separation of the bearing and universal joint. A
21V419000	INFINITI	0	degradation_over_time	Nissan North America, Inc. (Nissan) is recalling certain 2017 Infiniti QX30 vehicles. The steering shaft bore hole for the universal joint bearing may allow excessive movement that, over time, could result in the separation of the bearing and universal joint. A separated universal joint bearing can 
22V869000	INTERNATIONAL	0	degradation_over_time	Navistar, Inc. (Navistar) is recalling certain 2021-2022 International CV, 2022-2023 International HV, 2023 IC 1300 FBC, CE, RE, TC, International MV, HX, LT, RH, and LoneStar vehicles. The hex flange lock nuts, used in the suspension and steering joints, were improperly heat treated and may lose te
22V870000	IC BUS	0	degradation_over_time	Navistar, Inc. (Navistar) is recalling certain 2023 IC CE, EV, and RE vehicles. The hex flange lock nuts, used in the suspension and steering joints, were improperly heat treated and may lose tension over time. A loss of tension in the steering and suspension joints may lead to steering instability 
23V036000	LION	0	degradation_over_time	Lion Electric Company (Lion) is recalling certain 2019-2023 LionC school buses. The rubber mounts used to absorb vibrations from the main hydraulic pump may wear prematurely and fail, resulting in an unsecured pump. An unsecured hydraulic pump can cause a loss of power steering assist. In addition, 
23V815000	TERBERG BENSCHOP B.V.	0	degradation_over_time	Terberg Benschop B.V. (Terberg Benschop) is recalling certain 2021-2022 YT193 terminal tractors. Paint on the mounting surface of the steering linkage can wear off, which may cause the bolt to become loose or break, resulting in a loss of steering control. A loss of steering control increases the ri
25V559000	VINFAST	0	driver_assistance	VinFast Auto, LLC (VinFast) is recalling certain 2023-2025 VF8 vehicles. The Advanced Driver Assistance System (ADAS) may activate during wide turns, causing unexpected steering wheel movements that are difficult for the driver to override. A steering wheel that moves unexpectedly may increase the r
