unit	last_event	n	median	threshold	E_baseline	E_max	rho_E	fire_window_E	fire_window_L
A13	stuck open	24207	87	81.8956	0.00289256	1	0.672727	3	4
A2	stuck closed	15462	72	81.8956	0.0413972	0.0413972	0.454545		
B2	stuck open	27020	86	102.791	0.000370096	0.0188749	0.709091	7	
B5	stuck open	21901	75	84.8956	0.000456621	0	1		
B6	stuck open	34140	70	68	0.00732279	1	0.260606	2	
B7	stuck closed	1386	97	124.687	0.0217391	0.0719424	-0.406061	2	
B9	stuck closed	30052	89	124.582	0.0941764	0.0941764	-0.878788		
C10	stuck closed	3835	54	56	0.550914	0.550914	0.0181818		
C4	stuck open	15526	72	80.8956	0.00064433	0.00064433	0.963636		
E1	stuck open	16547	87	135.478	0.0580411	0.0580411	-0.212121		
E2	stuck closed	1740	100	291.173	0.00574713	0.00574713	0.454545		
E7	stuck closed	2200	142	280.695	0.0318182	0.0318182	-0.127273		
E9	stuck open	28669	150	297.434	0.0108165	0.0108165	-0.381818		
