cmplid	elapsed_s	elapsed_kind	persist	recovery
12464		none	unreadable	unreadable
44500		none	unreadable	unreadable
44531		none	unreadable	unreadable
47209		none	unreadable	unreadable
48389		none	unreadable	unreadable
48475		none	unreadable	unreadable
57921		none	unreadable	unreadable
64996		none	unreadable	unreadable
82262		none	unreadable	unreadable
95451		none	unreadable	unreadable
144777		none	unreadable	unreadable
148867		none	unreadable	unreadable
151645		none	unreadable	unreadable
164521		none	unreadable	unreadable
198177		none	unreadable	unreadable
203394		none	unreadable	unreadable
226630		none	unreadable	unreadable
261164		none	unreadable	unreadable
293260		none	momentary	unreadable
330152		none	unreadable	unreadable
345088		none	unreadable	unreadable
354764		none	unreadable	unreadable
362220		none	unreadable	unreadable
389933		none	momentary	unreadable
395791		none	unreadable	unreadable
404003		none	unreadable	unreadable
424538		none	unreadable	unreadable
424690		none	momentary	unreadable
425761		none	unreadable	unreadable
426608		none	unreadable	unreadable
429671		none	unreadable	unreadable
434775		none	momentary	unreadable
440479		none	unreadable	unreadable
449132		none	unreadable	unreadable
449222		none	unreadable	unreadable
449528		none	unreadable	unreadable
451445		none	unreadable	unreadable
452902		none	unreadable	unreadable
453651		none	unreadable	unreadable
455556		none	momentary	unreadable
455557		none	momentary	unreadable
466215		none	until_reset	ignition
470192		none	unreadable	unreadable
473925		none	until_reset	ignition
473926		none	until_reset	ignition
482894		none	unreadable	unreadable
489225		none	unreadable	unreadable
501877		none	unreadable	unreadable
501878		none	unreadable	unreadable
503271		none	until_reset	ignition
503272		none	until_reset	ignition
503273		none	until_reset	ignition
512778		none	until_reset	ignition
514049	2700	time	unreadable	unreadable
516615		none	unreadable	unreadable
516616		none	unreadable	unreadable
517104		none	unreadable	unreadable
517105		none	unreadable	unreadable
522380		none	unreadable	unreadable
523373		none	unreadable	unreadable
534826		none	unreadable	unreadable
554409		none	until_reset	rest_or_cool
557902		none	unreadable	unreadable
560989		none	unreadable	unreadable
575969		none	until_reset	ignition
579892		none	unreadable	unreadable
580092		none	unreadable	unreadable
582028		none	unreadable	unreadable
583403		none	until_reset	rest_or_cool
590940		none	unreadable	unreadable
596950		none	unreadable	unreadable
597920		none	unreadable	unreadable
600196	10	time	until_reset	ignition
604522		none	until_reset	ignition
605374		none	unreadable	unreadable
608649		none	unreadable	spontaneous
617081		none	unreadable	unreadable
630207		none	unreadable	unreadable
631791		none	unreadable	unreadable
633819		none	unreadable	unreadable
634118		none	unreadable	unreadable
639283		none	until_reset	ignition
642243		none	until_reset	ignition
646186		none	unreadable	unreadable
646683		none	until_reset	ignition
652456		none	unreadable	unreadable
652457		none	unreadable	unreadable
658321		none	until_reset	ignition
661886		none	unreadable	unreadable
662875		none	unreadable	unreadable
664342		none	unreadable	unreadable
667040		none	unreadable	unreadable
670828		none	unreadable	unreadable
673296		none	unreadable	unreadable
674266		none	unreadable	unreadable
675182		none	until_reset	ignition
678749		none	unreadable	unreadable
678753		none	unreadable	unreadable
679705		none	until_reset	ignition
679819		none	unreadable	unreadable
688335		none	unreadable	unreadable
690838		none	until_reset	ignition
691473		none	unreadable	unreadable
695424		none	unreadable	unreadable
698004		none	unreadable	unreadable
698633		none	until_reset	ignition
698755		none	unreadable	unreadable
700014		none	until_reset	ignition
702261		none	until_reset	ignition
703639		none	until_reset	ignition
705483		none	unreadable	unreadable
705824		none	until_reset	ignition
708936		none	unreadable	unreadable
709299		none	until_reset	ignition
709543		none	unreadable	unreadable
709696		none	unreadable	unreadable
711026		none	unreadable	unreadable
717192		none	until_reset	ignition
719314		none	unreadable	unreadable
720814		none	unreadable	unreadable
721750		none	until_reset	ignition
721811		none	unreadable	unreadable
722678		none	unreadable	unreadable
722922		none	unreadable	spontaneous
723380		none	until_reset	ignition
724283		none	unreadable	unreadable
726261		none	until_reset	ignition
726518	2400	time	until_reset	ignition
726599		none	unreadable	unreadable
726848		none	until_reset	ignition
729615		none	until_reset	ignition
730489		none	until_reset	ignition
731130		none	until_reset	ignition
731457		none	until_reset	ignition
731611		none	unreadable	unreadable
731816		none	until_reset	ignition
732444		none	until_reset	ignition
733464		none	unreadable	unreadable
733484	1800	time	until_reset	rest_or_cool
733717		none	unreadable	unreadable
734784		none	unreadable	unreadable
734859		none	unreadable	unreadable
734870		none	unreadable	unreadable
735430		none	until_reset	ignition
735492		none	until_reset	ignition
735756		none	unreadable	unreadable
735988		none	unreadable	unreadable
736269		none	until_reset	ignition
736489		none	unreadable	unreadable
737105		none	unreadable	unreadable
737106		none	until_reset	ignition
737378		none	unreadable	unreadable
737564		none	unreadable	unreadable
740138		none	unreadable	unreadable
740314		none	until_reset	ignition
