device	observable	cv_shift_floors	false_alarm	first_fire	rest_frac	passed_cv
Device 2	ターンオン遅れ	0.3410	0.020000	0	1.0000	1
Device 2	導通時の電圧	0.2915	0.020000	1	0.9905	1
Device 2	ゲート平坦部	0.1003	0.020000	0	1.0000	1
Device 3	ターンオン遅れ	0.3076	0.023810	0	1.0000	1
Device 3	導通時の電圧	0.1673	0.023810	0	1.0000	1
Device 3	ゲート平坦部	0.0301	0.023810	0	1.0000	1
Device 4	ターンオン遅れ	0.0040	0.012987	19	0.8812	1
Device 4	導通時の電圧	0.1100	0.012987	3	0.9812	1
Device 4	ゲート平坦部	0.0231	0.012987	0	1.0000	1
Device 5	ターンオン遅れ	0.0715	0.035714	8	0.8689	1
Device 5	導通時の電圧	0.0113	0.035714	2	0.9672	1
Device 5	ゲート平坦部	0.1809	0.035714	4	0.9344	1
