device	run	n_records	level_residual	level_deviation	dispersion	level_fire_run	dispersion_fire_run
8	1	3216	0.0215041	0.00293795	0.0282025	4	5
8	2	3058	0.0175997	0.000966372	0.0289841	4	5
8	3	2821	0.0165945	0.00197158	0.0284298	4	5
8	4	2670	0.0517692	0.0332031	0.0274122	4	5
8	5	14800	0.384043	0.365476	0.0303644	4	5
8	6	18899	0.509642	0.491076	0.0295095	4	5
8	7	18712	0.837534	0.818967	0.0392743	4	5
9	1	2728	0.0198216	0.000333438	0.0271812	5	5
9	2	2737	0.0216016	0.00211352	0.0264884	5	5
9	3	2583	0.0170412	0.00244696	0.0271479	5	5
9	4	2418	0.015018	0.00447008	0.0277296	5	5
9	5	11911	0.115958	0.0964703	0.0310585	5	5
9	6	16957	0.295027	0.275539	0.0385217	5	5
9	7	17726	0.456828	0.43734	0.0283474	5	5
10	1	2815	0.00831852	0.00668668	0.036145	4	8
10	2	2667	0.0141481	0.000857123	0.0273875	4	8
10	3	2495	0.022549	0.0075438	0.027745	4	8
10	4	2437	0.0496066	0.0346014	0.0280238	4	8
10	5	13658	0.314224	0.299219	0.0449279	4	8
10	6	18936	0.427224	0.412219	0.0305681	4	8
10	7	18637	0.533329	0.518324	0.0296092	4	8
11	1	2970	0.0167258	0.000373786	0.0266538	5	5
11	2	2764	0.0164388	0.000660719	0.0269311	5	5
11	3	2609	0.0181341	0.00103451	0.0271992	5	5
11	4	2413	0.0158861	0.0012135	0.027552	5	5
11	5	12717	0.0697333	0.0526337	0.0301868	5	5
11	6	17780	0.212731	0.195631	0.0309062	5	5
11	7	18194	0.332403	0.315303	0.024672	5	5
12	1	2944	0.0138876	0.00177064	0.0252961	4	5
12	2	2836	0.0187164	0.00305812	0.0249069	4	5
12	3	2645	0.0143708	0.00128748	0.0245018	4	5
12	4	2472	-0.000255912	0.0159142	0.0255014	4	5
12	5	12749	0.088559	0.0729008	0.0510912	4	5
12	6	17625	0.190524	0.174866	0.027693	4	5
12	7	12269	0.297182	0.281523	0.0289813	4	5
14	1	3005	0.0164752	0.00286988	0.0259193	5	5
14	2	2811	0.00349467	0.0101106	0.0250507	5	5
14	3	2661	0.020846	0.00724072	0.0265231	5	5
14	4	2520	0.0332353	0.0196301	0.0257334	5	5
14	5	13600	0.361986	0.34838	0.0360346	5	5
14	6	18648	0.489618	0.476013	0.0263367	5	5
14	7	4297	0.57643	0.562825	0.033885	5	5
