amplitude_over_floor	duration_samples	duration_s	detect_mean	detect_max	n_logs
1	1	0.1	0.00921925	0.0100835	3471
1	2	0.2	0.0103717	0.00777874	3471
1	5	0.5	0.00979545	0.00950735	3471
1	10	1	0.00950735	0.00806684	3471
1	20	2	0.00921925	0.00979545	3471
2	1	0.1	0.00806684	0.00864304	3471
2	2	0.2	0.011236	0.0109479	3471
2	5	0.5	0.0135408	0.014117	3471
2	10	1	0.0118122	0.0118122	3471
2	20	2	0.0126765	0.00979545	3471
3	1	0.1	0.00835494	0.00950735	3471
3	2	0.2	0.0132527	0.0123884	3471
3	5	0.5	0.0106598	0.0115241	3471
3	10	1	0.0138289	0.0118122	3471
3	20	2	0.0181504	0.0106598	3471
5	1	0.1	0.0100835	0.0121003	3471
5	2	0.2	0.00662633	0.0103717	3471
5	5	0.5	0.00835494	0.00979545	3471
5	10	1	0.0123884	0.0132527	3471
5	20	2	0.906943	0.0132527	3471
10	1	0.1	0.00921925	0.998559	3471
10	2	0.2	0.00979545	0.998271	3471
10	5	0.5	0.0129646	0.999424	3471
10	10	1	0.90291	0.999424	3471
10	20	2	0.994238	0.999712	3471
