source	amplitude_over_floor	duration_samples	detect_mean	detect_max
NASA Test_8	1	1	0.015	0.01
NASA Test_8	1	2	0	0.005
NASA Test_8	1	5	0.01	0.005
NASA Test_8	1	10	0.01	0.015
NASA Test_8	1	20	0.015	0.015
NASA Test_8	2	1	0.01	0.4
NASA Test_8	2	2	0.02	0.6
NASA Test_8	2	5	0.02	0.845
NASA Test_8	2	10	0.025	0.925
NASA Test_8	2	20	0.19	0.98
NASA Test_8	3	1	0.015	0.985
NASA Test_8	3	2	0.015	0.995
NASA Test_8	3	5	0.01	0.99
NASA Test_8	3	10	0.02	1
NASA Test_8	3	20	0.945	1
NASA Test_8	5	1	0.03	1
NASA Test_8	5	2	0.02	1
NASA Test_8	5	5	0.035	1
NASA Test_8	5	10	0.925	1
NASA Test_8	5	20	0.995	1
NASA Test_8	10	1	0	1
NASA Test_8	10	2	0.005	1
NASA Test_8	10	5	0.9	1
NASA Test_8	10	10	1	1
NASA Test_8	10	20	1	1
NASA Test_8	20	1	0.015	1
NASA Test_8	20	2	0.225	1
NASA Test_8	20	5	1	1
NASA Test_8	20	10	1	1
NASA Test_8	20	20	1	1
NASA Test_9	1	1	0.01	0.02
NASA Test_9	1	2	0.025	0.025
NASA Test_9	1	5	0.01	0.03
NASA Test_9	1	10	0.025	0.05
NASA Test_9	1	20	0.03	0.03
NASA Test_9	2	1	0.015	0.55
NASA Test_9	2	2	0.01	0.76
NASA Test_9	2	5	0.025	0.955
NASA Test_9	2	10	0.03	0.97
NASA Test_9	2	20	0.61	0.985
NASA Test_9	3	1	0.015	0.985
NASA Test_9	3	2	0.005	1
NASA Test_9	3	5	0.04	0.99
NASA Test_9	3	10	0.055	1
NASA Test_9	3	20	0.975	1
NASA Test_9	5	1	0.02	1
NASA Test_9	5	2	0.005	1
NASA Test_9	5	5	0.035	1
NASA Test_9	5	10	0.94	1
NASA Test_9	5	20	1	1
NASA Test_9	10	1	0.01	1
NASA Test_9	10	2	0.045	1
NASA Test_9	10	5	0.955	1
NASA Test_9	10	10	1	1
NASA Test_9	10	20	1	1
NASA Test_9	20	1	0.04	1
NASA Test_9	20	2	0.64	1
NASA Test_9	20	5	1	1
NASA Test_9	20	10	1	1
NASA Test_9	20	20	1	1
NASA Test_10	1	1	0.015	0.015
NASA Test_10	1	2	0.01	0.02
NASA Test_10	1	5	0.025	0.02
NASA Test_10	1	10	0.005	0.005
NASA Test_10	1	20	0.005	0.015
NASA Test_10	2	1	0.02	0.025
NASA Test_10	2	2	0.005	0
NASA Test_10	2	5	0.005	0.005
NASA Test_10	2	10	0.01	0.015
NASA Test_10	2	20	0.02	0.015
NASA Test_10	3	1	0.015	0.01
NASA Test_10	3	2	0.015	0.025
NASA Test_10	3	5	0	0.01
NASA Test_10	3	10	0.02	0.02
NASA Test_10	3	20	0.005	0.01
NASA Test_10	5	1	0.005	0.015
NASA Test_10	5	2	0.005	0.01
NASA Test_10	5	5	0.01	0
NASA Test_10	5	10	0.015	0.02
NASA Test_10	5	20	0.005	0.01
NASA Test_10	10	1	0.015	0.99
NASA Test_10	10	2	0.02	0.995
NASA Test_10	10	5	0.02	0.995
NASA Test_10	10	10	0.025	0.995
NASA Test_10	10	20	0.915	0.99
NASA Test_10	20	1	0	1
NASA Test_10	20	2	0	1
NASA Test_10	20	5	0.02	1
NASA Test_10	20	10	0.95	1
NASA Test_10	20	20	1	1
NASA Test_11	1	1	0.015	0.025
NASA Test_11	1	2	0.015	0.02
NASA Test_11	1	5	0.01	0.01
NASA Test_11	1	10	0.005	0.01
NASA Test_11	1	20	0.01	0.025
NASA Test_11	2	1	0.005	0.46
NASA Test_11	2	2	0.015	0.675
NASA Test_11	2	5	0.005	0.915
NASA Test_11	2	10	0.015	0.955
NASA Test_11	2	20	0.055	0.955
NASA Test_11	3	1	0	0.985
NASA Test_11	3	2	0.01	0.99
NASA Test_11	3	5	0.02	1
NASA Test_11	3	10	0.03	0.995
NASA Test_11	3	20	0.925	1
NASA Test_11	5	1	0.02	1
NASA Test_11	5	2	0.01	1
NASA Test_11	5	5	0.02	1
NASA Test_11	5	10	0.66	1
NASA Test_11	5	20	0.985	1
NASA Test_11	10	1	0.02	1
NASA Test_11	10	2	0.025	1
NASA Test_11	10	5	0.655	1
NASA Test_11	10	10	0.995	1
NASA Test_11	10	20	1	1
NASA Test_11	20	1	0.025	1
NASA Test_11	20	2	0.06	1
NASA Test_11	20	5	1	1
NASA Test_11	20	10	1	1
NASA Test_11	20	20	1	1
