fault	channel	family	n_samples	threshold	fired	false_alarm_holdout
HB1&2_OVER_TEMP	Ia	相電流	10	2.84596	0	0.000000
HB1_LOW_SIDE_SC	Ia	相電流	10	2.84596	1	0.000000
HB1_OVER_TEMP	Ia	相電流	10	2.84596	0	0.000000
HB2_HIGH_SIDE_OC	Ia	相電流	10	2.84596	0	0.000000
HB2_HIGH_SIDE_SC	Ia	相電流	10	2.84596	0	0.000000
HB3_HIGH_SIDE_SC	Ia	相電流	10	2.84596	0	0.000000
HB3_LOW_SIDE_OC	Ia	相電流	10	2.84596	0	0.000000
HB3_OVER_TEMP	Ia	相電流	10	2.84596	0	0.000000
HB1&2_OVER_TEMP	Ib	相電流	10	5.99392	0	0.000000
HB1_LOW_SIDE_SC	Ib	相電流	10	5.99392	0	0.000000
HB1_OVER_TEMP	Ib	相電流	10	5.99392	0	0.000000
HB2_HIGH_SIDE_OC	Ib	相電流	10	5.99392	0	0.000000
HB2_HIGH_SIDE_SC	Ib	相電流	10	5.99392	0	0.000000
HB3_HIGH_SIDE_SC	Ib	相電流	10	5.99392	0	0.000000
HB3_LOW_SIDE_OC	Ib	相電流	10	5.99392	0	0.000000
HB3_OVER_TEMP	Ib	相電流	10	5.99392	0	0.000000
HB1&2_OVER_TEMP	Vdc	DCバス	10	0.35468	1	0.000468
HB1_LOW_SIDE_SC	Vdc	DCバス	10	0.35468	1	0.000468
HB1_OVER_TEMP	Vdc	DCバス	10	0.35468	0	0.000468
HB2_HIGH_SIDE_OC	Vdc	DCバス	10	0.35468	0	0.000468
HB2_HIGH_SIDE_SC	Vdc	DCバス	10	0.35468	0	0.000468
HB3_HIGH_SIDE_SC	Vdc	DCバス	10	0.35468	0	0.000468
HB3_LOW_SIDE_OC	Vdc	DCバス	10	0.35468	1	0.000468
HB3_OVER_TEMP	Vdc	DCバス	10	0.35468	0	0.000468
HB1&2_OVER_TEMP	Idc	DCバス	10	0.54661	0	0.000000
HB1_LOW_SIDE_SC	Idc	DCバス	10	0.54661	1	0.000000
HB1_OVER_TEMP	Idc	DCバス	10	0.54661	0	0.000000
HB2_HIGH_SIDE_OC	Idc	DCバス	10	0.54661	0	0.000000
HB2_HIGH_SIDE_SC	Idc	DCバス	10	0.54661	0	0.000000
HB3_HIGH_SIDE_SC	Idc	DCバス	10	0.54661	0	0.000000
HB3_LOW_SIDE_OC	Idc	DCバス	10	0.54661	0	0.000000
HB3_OVER_TEMP	Idc	DCバス	10	0.54661	1	0.000000
HB1&2_OVER_TEMP	T1	温度	10	1.12317	1	0.756428
HB1_LOW_SIDE_SC	T1	温度	10	1.12317	1	0.756428
HB1_OVER_TEMP	T1	温度	10	1.12317	1	0.756428
HB2_HIGH_SIDE_OC	T1	温度	10	1.12317	1	0.756428
HB2_HIGH_SIDE_SC	T1	温度	10	1.12317	1	0.756428
HB3_HIGH_SIDE_SC	T1	温度	10	1.12317	1	0.756428
HB3_LOW_SIDE_OC	T1	温度	10	1.12317	1	0.756428
HB3_OVER_TEMP	T1	温度	10	1.12317	1	0.756428
HB1&2_OVER_TEMP	T2	温度	10	0.94948	1	0.046751
HB1_LOW_SIDE_SC	T2	温度	10	0.94948	1	0.046751
HB1_OVER_TEMP	T2	温度	10	0.94948	1	0.046751
HB2_HIGH_SIDE_OC	T2	温度	10	0.94948	1	0.046751
HB2_HIGH_SIDE_SC	T2	温度	10	0.94948	1	0.046751
HB3_HIGH_SIDE_SC	T2	温度	10	0.94948	1	0.046751
HB3_LOW_SIDE_OC	T2	温度	10	0.94948	1	0.046751
HB3_OVER_TEMP	T2	温度	10	0.94948	1	0.046751
HB1&2_OVER_TEMP	T3	温度	10	0.76871	0	0.000000
HB1_LOW_SIDE_SC	T3	温度	10	0.76871	0	0.000000
HB1_OVER_TEMP	T3	温度	10	0.76871	0	0.000000
HB2_HIGH_SIDE_OC	T3	温度	10	0.76871	0	0.000000
HB2_HIGH_SIDE_SC	T3	温度	10	0.76871	0	0.000000
HB3_HIGH_SIDE_SC	T3	温度	10	0.76871	1	0.000000
HB3_LOW_SIDE_OC	T3	温度	10	0.76871	0	0.000000
HB3_OVER_TEMP	T3	温度	10	0.76871	1	0.000000
HB1&2_OVER_TEMP	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB1_LOW_SIDE_SC	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB1_OVER_TEMP	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB2_HIGH_SIDE_OC	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB2_HIGH_SIDE_SC	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB3_HIGH_SIDE_SC	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB3_LOW_SIDE_OC	Vd	ドライバ電圧	10	24.74214	0	0.000000
HB3_OVER_TEMP	Vd	ドライバ電圧	10	24.74214	0	0.000000
