window_id	source_file	t_s	vEgo_mps	steerFiltered	steeringAngleDeg	latAccelDesired	latAccelSteeringAngle
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	28.6	7.99028	1.0	29.1	-0.80358	-0.47989
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	28.7	7.79606	1.0	29.1	-0.78729	-0.45772
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	28.8	7.62105	1.0	29.1	-0.74384	-0.43825
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	28.9	7.43457	1.0	29.1	-0.74615	-0.41815
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.0	7.30653	1.0	29.20072	-0.71459	-0.40646
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.1	7.21094	1.0	29.59547	-0.73017	-0.40319
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.2	7.07141	1.0	30.00032	-0.74123	-0.39467
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.3	7.0151	1.0	30.09901	-0.70331	-0.39021
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.4	6.91475	1.0	30.49667	-0.68684	-0.38586
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.5	6.88784	1.0	32.29166	-0.68652	-0.4097
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.6	6.89444	1.0	35.09076	-0.72307	-0.45103
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.7	6.90968	1.0	37.10019	-0.73232	-0.48217
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.8	6.93904	1.0	38.3001	-0.71792	-0.50418
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	29.9	7.00653	1.0	39.18908	-0.7005	-0.52728
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.2	7.98661	0.37917	-1.0	0.06743	0.09697
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.3	7.94252	0.39068	-1.0	0.0641	0.09595
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.4	7.93187	0.40602	-1.0	0.06755	0.09573
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.5	7.88964	0.40613	-0.90011	0.07037	0.09318
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.6	7.86415	0.38355	-0.9984	0.07022	0.09433
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.7	7.83058	0.41758	-1.0	0.06532	0.09344
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.8	7.80407	0.429	-1.0	0.06374	0.09273
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.9	7.75456	0.40996	-1.0	0.06663	0.09146
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.0	7.72794	0.40996	-1.0	0.0654	0.09069
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.1	7.67978	0.42123	-1.0	0.0643	0.08954
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.2	7.62351	0.3833	-0.90019	0.0739	0.08653
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.3	7.58339	0.32649	-0.9	0.08616	0.08574
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.4	7.51393	0.28364	-0.9	0.07553	0.08449
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.5	7.44535	0.29117	-0.9	0.07363	0.08309
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.6	7.38782	0.32133	-0.9	0.0701	0.08186
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.7	7.3162	0.30658	-0.9	0.07038	0.08044
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.8	7.2272	0.3179	-0.9	0.06805	0.07839
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	9.9	7.1562	0.36013	-0.9	0.06087	0.07676
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.0	7.10933	0.37541	-0.9	0.06215	0.07582
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.1	7.02129	0.39055	-0.9	0.05858	0.07411
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.2	6.95435	0.43659	-0.9	0.04526	0.07267
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.3	6.90601	0.44807	-0.9	0.05611	0.07163
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.4	6.8061	0.39858	-0.8	0.0542	0.06824
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.5	6.72928	0.44425	-0.8	0.04828	0.06666
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.6	6.68137	0.39909	-0.70113	0.05541	0.06457
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.7	6.60055	0.42133	-0.7	0.04902	0.06313
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.8	6.49018	0.4328	-0.7	0.04834	0.06107
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	10.9	6.42509	0.37937	-0.7	0.05177	0.06
