device	run	n_records	R_on_raw	R_on_raw_vs_baseline	T_pkg	n_matched	R_on_matched	R_on_matched_vs_baseline
8	1	3216	1.876058	1.000000	154.991599	2503	1.884264	1.000000
8	2	3058	1.819305	0.969749	149.970945	0	nan	nan
8	3	2821	1.762702	0.939578	144.643017	0	nan	nan
8	4	2670	1.741163	0.928097	139.344960	0	nan	nan
8	5	14800	2.072569	1.104747	137.932598	0	nan	nan
8	6	18899	2.201588	1.173518	138.582845	0	nan	nan
8	7	18712	2.369143	1.262831	123.804210	0	nan	nan
9	1	2728	1.833972	1.000000	154.578770	2027	1.841944	1.000000
9	2	2737	1.784163	0.972841	149.281600	0	nan	nan
9	3	2583	1.728235	0.942345	143.895553	0	nan	nan
9	4	2418	1.674651	0.913128	138.509264	0	nan	nan
9	5	11911	1.729656	0.943120	132.479772	0	nan	nan
9	6	16957	1.913983	1.043627	133.102254	0	nan	nan
9	7	17726	2.073310	1.130502	132.769562	0	nan	nan
10	1	2815	2.007847	1.000000	157.202261	2240	1.996109	1.000000
10	2	2667	1.939646	0.966033	152.273400	0	nan	nan
10	3	2495	1.872720	0.932701	146.631397	0	nan	nan
10	4	2437	1.840040	0.916425	141.672750	0	nan	nan
10	5	13658	2.093100	1.042460	139.322618	0	nan	nan
10	6	18936	2.207842	1.099607	139.923083	0	nan	nan
10	7	18637	2.321987	1.156456	140.775535	0	nan	nan
11	1	2970	1.850963	1.000000	149.993286	2436	1.855070	1.000000
11	2	2764	1.795367	0.969964	145.160915	0	nan	nan
11	3	2609	1.743105	0.941728	140.202592	0	nan	nan
11	4	2413	1.689937	0.913004	135.436115	0	nan	nan
11	5	12717	1.726909	0.932979	132.738640	0	nan	nan
11	6	17780	1.877376	1.014270	133.388725	0	nan	nan
11	7	18194	1.994114	1.077339	133.080965	0	nan	nan
12	1	2944	1.860361	1.000000	151.598707	2445	1.867938	1.000000
12	2	2836	1.810772	0.973345	145.934282	0	nan	nan
12	3	2645	1.757487	0.944703	140.919134	0	nan	nan
12	4	2472	1.694127	0.910644	135.961784	0	nan	nan
12	5	12749	1.760036	0.946073	132.394130	0	nan	nan
12	6	17625	1.876166	1.008496	133.514273	0	nan	nan
12	7	12269	1.979324	1.063946	133.376016	0	nan	nan
14	1	3005	1.873487	1.000000	152.597350	2521	1.880439	1.000000
14	2	2811	1.814988	0.968775	147.707992	0	nan	nan
14	3	2661	1.780636	0.950439	142.436727	0	nan	nan
14	4	2520	1.753943	0.936192	137.670654	0	nan	nan
14	5	13600	2.070372	1.105090	135.044817	0	nan	nan
14	6	18648	2.192307	1.170174	134.586010	0	nan	nan
14	7	4297	2.264769	1.208852	133.855384	0	nan	nan
