device	run	R_on	T_pkg	R_on_predicted	residual	delta_vs_baseline
8	1	1.876058	154.991599	1.875455	0.000603	0.000322
8	2	1.819305	149.970945	1.820476	-0.001172	-0.000625
8	3	1.762702	144.643017	1.762134	0.000568	0.000303
8	4	1.741163	139.344960	1.704118	0.037045	0.019753
8	5	2.072569	137.932598	1.688652	0.383917	0.204706
8	6	2.201588	138.582845	1.695772	0.505815	0.269703
8	7	2.369143	123.804210	1.533941	0.835202	0.445333
9	1	1.833972	154.578770	1.834852	-0.000880	-0.000480
9	2	1.784163	149.281600	1.782416	0.001746	0.000952
9	3	1.728235	143.895553	1.729101	-0.000866	-0.000472
9	4	1.674651	138.509264	1.675782	-0.001132	-0.000617
9	5	1.729656	132.479772	1.616097	0.113558	0.061890
9	6	1.913983	133.102254	1.622259	0.291724	0.158991
9	7	2.073310	132.769562	1.618966	0.454344	0.247619
10	1	2.007847	157.202261	2.006001	0.001846	0.000920
10	2	1.939646	152.273400	1.943105	-0.003458	-0.001724
10	3	1.872720	146.631397	1.871108	0.001612	0.000804
10	4	1.840040	141.672750	1.807832	0.032209	0.016056
10	5	2.093100	139.322618	1.777842	0.315258	0.157158
10	6	2.207842	139.923083	1.785504	0.422337	0.210537
10	7	2.321987	140.775535	1.796382	0.525605	0.262016
11	1	1.850963	149.993286	1.850166	0.000797	0.000431
11	2	1.795367	145.160915	1.796941	-0.001574	-0.000851
11	3	1.743105	140.202592	1.742328	0.000777	0.000420
11	4	1.689937	135.436115	1.689828	0.000108	0.000059
11	5	1.726909	132.738640	1.660118	0.066792	0.036100
11	6	1.877376	133.388725	1.667278	0.210099	0.113557
11	7	1.994114	133.080965	1.663888	0.330226	0.178485
12	1	1.860361	151.598707	1.861916	-0.001556	-0.000835
12	2	1.810772	145.934282	1.807459	0.003313	0.001779
12	3	1.757487	140.919134	1.759244	-0.001757	-0.000944
12	4	1.694127	135.961784	1.711585	-0.017459	-0.009377
12	5	1.760036	132.394130	1.677286	0.082750	0.044444
12	6	1.876166	133.514273	1.688055	0.188111	0.101031
12	7	1.979324	133.376016	1.686726	0.292598	0.157149
14	1	1.873487	152.597350	1.868710	0.004777	0.002556
14	2	1.814988	147.707992	1.824196	-0.009208	-0.004927
14	3	1.780636	142.436727	1.776205	0.004431	0.002371
14	4	1.753943	137.670654	1.732813	0.021131	0.011308
14	5	2.070372	135.044817	1.708906	0.361465	0.193430
14	6	2.192307	134.586010	1.704729	0.487578	0.260917
14	7	2.264769	133.855384	1.698077	0.566692	0.303253
