group	age_band	vehicles	steer_fail_2025	rate	relative_risk_vs_clean
clean24	4-7	4465928	19116	0.00428	1.00
sign24	4-7	30217	3118	0.10319	24.11
fail24	4-7	15436	1165	0.07547	17.63
clean24	8-11	5330138	76983	0.01444	1.00
sign24	8-11	132254	16106	0.12178	8.43
fail24	8-11	86297	8293	0.09610	6.65
clean24	12-15	3276446	76325	0.02330	1.00
sign24	12-15	175331	21478	0.12250	5.26
fail24	12-15	106740	12091	0.11328	4.86
clean24	16-25	3060278	85595	0.02797	1.00
sign24	16-25	258077	28274	0.10956	3.92
fail24	16-25	123616	14379	0.11632	4.16
