fault_type	severity	C1	gC1	C2	gC2	V1	gV1	V2	gV2	i2_over_i1_raw	polarity_flipped
interturn	0	1	0.0014473	1	0.0865859	1	0.0781639	1	0.0451971	0.0228812	0
interturn	2.26	0.935337	0.00525859	4.26604	0.274381	0.0873746	0.00170938	0.117075	0.000527337	0.0976122	1
interturn	2.7	0.93075	0.00593947	4.62724	0.273608	0.0847082	0.00211239	0.117144	0.000324891	0.105877	1
interturn	3.35	0.981069	0.00228294	1.99541	0.0926536	0.666906	0.0958236	1.29525	0.137661	0.0456574	0
interturn	4.41	0.924079	0.00380776	4.87719	0.216619	0.088812	0.00324313	0.117052	0.000528313	0.111596	1
interturn	6.48	0.976557	0.00381755	2.20791	0.170819	0.683165	0.0506191	2.20262	0.676161	0.0505197	0
interturn	12.17	0.917097	0.00361362	4.84029	0.184818	0.0856603	0.00289767	0.117035	0.000622144	0.110752	1
interturn	21.69	0.951773	0.0100528	3.2251	0.500869	0.280528	0.0739003	1.49552	0.0424269	0.0737943	0
intercoil	0	1	0.0014473	1	0.0865859	1	0.0781639	1	0.0451971	0.0228812	0
intercoil	0.68	0.936369	0.00622879	4.05478	0.314435	0.0862466	0.00373493	0.117091	0.00039342	0.0927783	1
intercoil	0.81	0.940837	0.00690437	3.77517	0.260105	0.082827	0.00240004	0.117055	0.000513499	0.0863805	1
intercoil	1.01	0.994884	0.00210844	1.17056	0.102724	1.18214	0.0464847	0.723497	0.0445465	0.0267837	0
intercoil	1.34	0.936474	0.0063083	4.10256	0.32456	0.0800478	0.00252848	0.117148	0.000424653	0.0938715	1
intercoil	2	0.989792	0.00498212	1.45268	0.223301	1.20084	0.0763101	3.1743	0.745969	0.033239	0
intercoil	3.93	0.936392	0.00732574	4.08902	0.333821	0.0897392	0.00203732	0.117089	0.000498297	0.0935619	1
intercoil	7.56	0.995202	0.00207694	1.13699	0.0998155	1.58252	0.0426732	0.801139	0.0476671	0.0260157	0
