kind	file_or_series	fs_mult	bits	lsb_A	floor_lab	floor_quantized
D	1.0kW/1000W_0_00_current_intercoil	1.5	8	0.020008	0.010307	0.00999406
D	1.0kW/1000W_0_00_current_intercoil	1.5	9	0.010004	0.010307	0.010457
D	1.0kW/1000W_0_00_current_intercoil	1.5	10	0.005002	0.010307	0.0102961
D	1.0kW/1000W_0_00_current_intercoil	1.5	11	0.002501	0.010307	0.0102822
D	1.0kW/1000W_0_00_current_intercoil	1.5	12	0.001250	0.010307	0.0103146
D	1.0kW/1000W_0_00_current_intercoil	1.5	14	0.000313	0.010307	0.0102992
D	1.0kW/1000W_0_00_current_intercoil	1.5	16	0.000078	0.010307	0.0103075
D	1.0kW/1000W_0_00_current_intercoil	2.0	8	0.026677	0.010307	0.010375
D	1.0kW/1000W_0_00_current_intercoil	2.0	9	0.013338	0.010307	0.0104178
D	1.0kW/1000W_0_00_current_intercoil	2.0	10	0.006669	0.010307	0.0101876
D	1.0kW/1000W_0_00_current_intercoil	2.0	11	0.003335	0.010307	0.0103035
D	1.0kW/1000W_0_00_current_intercoil	2.0	12	0.001667	0.010307	0.0103749
D	1.0kW/1000W_0_00_current_intercoil	2.0	14	0.000417	0.010307	0.0102962
D	1.0kW/1000W_0_00_current_intercoil	2.0	16	0.000104	0.010307	0.0103073
D	1.0kW/1000W_0_00_current_intercoil	3.0	8	0.040015	0.010307	0.0109121
D	1.0kW/1000W_0_00_current_intercoil	3.0	9	0.020008	0.010307	0.00999406
D	1.0kW/1000W_0_00_current_intercoil	3.0	10	0.010004	0.010307	0.010457
D	1.0kW/1000W_0_00_current_intercoil	3.0	11	0.005002	0.010307	0.0102961
D	1.0kW/1000W_0_00_current_intercoil	3.0	12	0.002501	0.010307	0.0102822
D	1.0kW/1000W_0_00_current_intercoil	3.0	14	0.000625	0.010307	0.0103148
D	1.0kW/1000W_0_00_current_intercoil	3.0	16	0.000156	0.010307	0.0103064
D	1.0kW/1000W_0_00_current_interturn	1.5	8	0.020008	0.010307	0.00999406
D	1.0kW/1000W_0_00_current_interturn	1.5	9	0.010004	0.010307	0.010457
D	1.0kW/1000W_0_00_current_interturn	1.5	10	0.005002	0.010307	0.0102961
D	1.0kW/1000W_0_00_current_interturn	1.5	11	0.002501	0.010307	0.0102822
D	1.0kW/1000W_0_00_current_interturn	1.5	12	0.001250	0.010307	0.0103146
D	1.0kW/1000W_0_00_current_interturn	1.5	14	0.000313	0.010307	0.0102992
D	1.0kW/1000W_0_00_current_interturn	1.5	16	0.000078	0.010307	0.0103075
D	1.0kW/1000W_0_00_current_interturn	2.0	8	0.026677	0.010307	0.010375
D	1.0kW/1000W_0_00_current_interturn	2.0	9	0.013338	0.010307	0.0104178
D	1.0kW/1000W_0_00_current_interturn	2.0	10	0.006669	0.010307	0.0101876
D	1.0kW/1000W_0_00_current_interturn	2.0	11	0.003335	0.010307	0.0103035
D	1.0kW/1000W_0_00_current_interturn	2.0	12	0.001667	0.010307	0.0103749
D	1.0kW/1000W_0_00_current_interturn	2.0	14	0.000417	0.010307	0.0102962
D	1.0kW/1000W_0_00_current_interturn	2.0	16	0.000104	0.010307	0.0103073
D	1.0kW/1000W_0_00_current_interturn	3.0	8	0.040015	0.010307	0.0109121
D	1.0kW/1000W_0_00_current_interturn	3.0	9	0.020008	0.010307	0.00999406
D	1.0kW/1000W_0_00_current_interturn	3.0	10	0.010004	0.010307	0.010457
D	1.0kW/1000W_0_00_current_interturn	3.0	11	0.005002	0.010307	0.0102961
