kind	name	rate_or_alloc	at_low_hours	at_high_hours	source
need	私が置いた線	1.0	4.048495023544521	11.669628906249999	docs/248
need	同種チャネル差分、共有率 1.00	1.5	6.072742535316781	17.504443359375	docs/352
need	同種チャネル差分、共有率 0.75	3.2	12.955184075342467	37.3428125	docs/352
need	同種チャネル無し、仮想の下端	12.0	48.58194028253425	140.035546875	docs/344
need	同種チャネル無し、仮想の上端	39.0	157.89130591823633	455.11552734375005	docs/344
allowed	8 KB	8	0.6855402227670988	1.9760429378015822	
allowed	32 KB	32	2.7421608910683952	7.904171751206329	
allowed	64 KB	64	5.4843217821367904	15.808343502412658	
driving	NTS 2023	127.05			SOURCES S12
driving	AAA ADS 2022	366.21666666666664			SOURCES S12
dflash	NXP S32K3 (S32K344)	128			SOURCES S12
dflash	Infineon AURIX TC33x-TC36x DF0	128			SOURCES S12
dflash	Renesas RH850/F1KH-D8	256			SOURCES S12
dflash	Infineon AURIX TC39x DF0	1024			SOURCES S12
