severity	R_ohm	L_H	unbalance	i2_over_i1
0.0000	1.0	0.0050	0.000000	0.000000
0.0000	1.0	0.0100	0.000000	0.000000
0.0000	1.0	0.0150	0.000000	0.000000
0.0000	1.0	0.0200	0.000000	0.000000
0.0000	2.0	0.0050	0.000000	0.000000
0.0000	2.0	0.0100	0.000000	0.000000
0.0000	2.0	0.0150	0.000000	0.000000
0.0000	2.0	0.0200	0.000000	0.000000
0.0000	3.0	0.0050	0.000000	0.000000
0.0000	3.0	0.0100	0.000000	0.000000
0.0000	3.0	0.0150	0.000000	0.000000
0.0000	3.0	0.0200	0.000000	0.000000
0.0000	4.0	0.0050	0.000000	0.000000
0.0000	4.0	0.0100	0.000000	0.000000
0.0000	4.0	0.0150	0.000000	0.000000
0.0000	4.0	0.0200	0.000000	0.000000
0.0000	5.0	0.0050	0.000000	0.000000
0.0000	5.0	0.0100	0.000000	0.000000
0.0000	5.0	0.0150	0.000000	0.000000
0.0000	5.0	0.0200	0.000000	0.000000
0.0226	1.0	0.0050	0.046915	0.027368
0.0226	1.0	0.0100	0.060918	0.035413
0.0226	1.0	0.0150	0.063753	0.037916
0.0226	1.0	0.0200	0.064161	0.038931
0.0226	2.0	0.0050	0.045340	0.026226
0.0226	2.0	0.0100	0.059239	0.034519
0.0226	2.0	0.0150	0.062766	0.037390
0.0226	2.0	0.0200	0.063558	0.038602
0.0226	3.0	0.0050	0.044432	0.025663
0.0226	3.0	0.0100	0.057792	0.033779
0.0226	3.0	0.0150	0.061838	0.036910
0.0226	3.0	0.0200	0.062973	0.038289
0.0226	4.0	0.0050	0.043985	0.025513
0.0226	4.0	0.0100	0.056563	0.033187
0.0226	4.0	0.0150	0.060975	0.036479
0.0226	4.0	0.0200	0.062407	0.037996
0.0226	5.0	0.0050	0.043850	0.025640
0.0226	5.0	0.0100	0.055536	0.032729
0.0226	5.0	0.0150	0.060180	0.036096
0.0226	5.0	0.0200	0.061865	0.037723
0.0270	1.0	0.0050	0.060867	0.035218
0.0270	1.0	0.0100	0.074044	0.043479
0.0270	1.0	0.0150	0.075950	0.045811
0.0270	1.0	0.0200	0.075919	0.046725
0.0270	2.0	0.0050	0.058370	0.033712
0.0270	2.0	0.0100	0.072154	0.042489
0.0270	2.0	0.0150	0.074925	0.045260
0.0270	2.0	0.0200	0.075312	0.046388
0.0270	3.0	0.0050	0.056803	0.032915
0.0270	3.0	0.0100	0.070494	0.041659
0.0270	3.0	0.0150	0.073950	0.044754
0.0270	3.0	0.0200	0.074717	0.046067
0.0270	4.0	0.0050	0.055894	0.032630
0.0270	4.0	0.0100	0.069061	0.040985
0.0270	4.0	0.0150	0.073033	0.044294
