test	run1_samples	slope	sigma	S	alpha	in_six
1	916	0.008648953292227344	0.06271659177689277	8.94459617454187	0.9645716080996293	0
3	3637	0.006626478726438327	0.5998237311057958	1.6316276612167815	0.8291573207994835	0
4	4145	0.011738034266074518	0.2791776079740415	3.163557797834569	1.0112123392384316	0
5	4328	0.012507104062204007	0.17150235877700495	4.7662767211909225	0.6272220506310813	0
6	4214	0.010179691516105609	0.08687594411065401	8.141955282701556	0.7754678458137065	0
7	11802	0.009562166248010423	0.0918794841646453	7.659592484860813	0.7361931675645851	0
8	3216	0.008357551556547816	0.07509129666073337	8.448810807808941	0.18995071075178563	1
9	2728	0.008233741056986238	0.07368534337228515	8.428932672355476	0.21607303539075923	1
10	2815	-0.007199422506013746	0.0981777050517521	6.852359935060013	0.3989839992269445	1
11	2970	0.008243019165516298	0.06983644824742441	8.933652988792224	0.3633910789174905	1
12	2944	0.008245122653671928	0.06945089529985875	9.022742269823246	0.17927456029948757	1
13	3058	0.00842888691167267	0.07441020346924392	7.329060131644633	1.0307845929747161	0
14	3005	0.008309877638308854	0.07353800740971879	8.566532747463366	0.15014509625406464	1
15	4346	0.023778106284419485	0.43684887945814554	2.2241310401199943	0.6980327053666671	0
16	3721	0.01261570839553798	0.08235991544572548	8.816557300274935	0.24870960291820396	0
17	3624	0.01177429322197531	0.08628542398493783	8.361438060979085	0.38332564443483647	0
18	2389	0.01299789997899148	0.08972075944477054	8.532005144513137	1.0021445508268325	0
19	15942	-0.0019522544509499467	0.241511327416282	4.075903805078148	0.7083451466470831	0
20	13530	0.011458089441200244	0.0675836924517922	9.494772358585028	0.38642294774395586	0
21	2327	0.0128989457072065	0.08567542351293418	8.472590372355025	0.9079824834906509	0
22	5508	0.010792809137406953	0.07889793219269021	8.499716642980067	0.12661386034056687	0
23	18644	0.010289047635368387	0.07172854276038826	8.946408935785406	1.0820618513792812	0
25	18953	0.010222882033205769	0.07044084803853763	8.652551455057065	0.16897362218594258	0
26	14662	0.010918998770305928	0.07199640505015065	8.991666639725787	0.6252104674752882	0
27	1666	0.010673193559394965	0.07987593590847152	8.014140759840798	0.11112844241130473	0
28	2400	0.010978002082950754	0.08329095362678211	7.845857503657191	1.3886371417396344	0
29	13678	0.010283662039947898	0.07003120857964042	9.03106919272778	0.626173061915692	0
30	36526	0.010453672456419129	0.07114186903476657	8.67536969930431	0.7893593662421436	0
31	33980	0.007433845624255556	0.06570933727675661	8.085177409598394	0.4060976866339846	0
32	10355	0.00940744774285804	0.06293562568174967	9.307313720240804	0.9361575833193013	0
33	33938	0.004988494314078389	0.1104994487895336	5.867510368605203	0.8611748867000855	0
34	36274	0.010643108975491563	0.06617259937531154	8.92814831892865	0.2122149023896526	0
35	13485	0.012070783215409045	0.0713143835022201	9.023670076799482	0.6597821359723335	0
36	22255	0.01114763867234757	0.06861560537297894	9.219327591281345	0.7454499643602527	0
37	36183	0.011623245291981997	0.06901479245493092	9.20419497808617	0.8366531888590134	0
38	7673	0.012188764703160137	0.07651666925824759	8.73794474760024	0.16291404214232352	0
39	2314	0.012321757529163674	0.06540208768606372	9.515689123814024	1.5684132818462164	0
40	844	-0.1988424174770001	1.3204525009121781	1.849384465237552	1.1168149363724176	0
41	37699	0.010486884056608572	0.07034099306314577	8.930675626709197	0.23998027464204377	0
42	3745	-0.037555891784804715	0.47051878617467896	1.8354805616078302	0.9246451233252942	0
