device	run	vds_t0	vds_t1	id_mean	power_w	dv_v	rth_v_per_w	tau_us
8	1	2.86381	3.73455	7.55405	27.0083	0.870742	0.0322398	71
8	2	2.91525	3.77075	7.5684	27.3775	0.855498	0.0312483	70
8	3	2.8805	3.75298	7.70266	27.6826	0.872481	0.0315172	72
8	4	2.81028	3.7032	7.92818	28.0723	0.89292	0.0318078	71
8	5	2.94005	3.78722	7.42515	26.9922	0.847168	0.0313857	70
8	6	3.17479	3.94486	6.52778	24.8526	0.770078	0.0309858	69
8	7	3.19235	3.95855	6.48847	24.7992	0.766201	0.0308962	69
9	1	3.22195	4.00602	8.12414	31.4185	0.784063	0.0249554	70
9	2	3.30361	4.06936	7.88377	31.0172	0.765742	0.0246877	69
9	3	3.27367	4.04812	7.98722	31.2467	0.774443	0.0247848	69
9	4	3.25542	4.03997	8.05039	31.4036	0.784551	0.0249828	69
9	5	3.1999	3.98564	8.20488	31.5575	0.785742	0.0248988	70
9	6	3.50043	4.19868	7.26094	29.5796	0.698252	0.0236058	70
9	7	3.6457	4.28457	6.78533	28.3172	0.638867	0.0225611	68
10	1	3.81813	4.40894	0.327097	1.40857	0.590801	0.419432	68
10	2	3.47508	4.18593	0.320285	1.30077	0.71085	0.546483	70
10	3	3.37303	4.11941	0.316787	1.2636	0.746387	0.590684	70
10	4	3.41463	4.14574	0.3173	1.27561	0.731113	0.57315	68
10	5	3.27548	4.0498	0.302747	1.1847	0.774326	0.653606	69
10	6	3.65127	4.30173	0.335526	1.40482	0.650459	0.463019	68
10	7	3.73655	4.36173	0.309381	1.316	0.625176	0.475056	68
11	1	3.31236	4.06901	7.57167	29.7658	0.75665	0.0254201	71
11	2	3.22752	4.01072	7.84012	30.3179	0.783203	0.0258331	71
11	3	3.22996	4.01619	7.87518	30.5026	0.786231	0.0257758	70
11	4	3.16848	3.97423	8.06318	30.8579	0.805752	0.0261117	70
11	5	2.95775	3.80511	8.19509	29.9072	0.847354	0.0283328	72
11	6	3.28103	4.04627	7.38816	28.8691	0.765244	0.0265073	70
11	7	3.39762	4.11597	7.04927	28.0944	0.71835	0.0255692	71
12	1	3.11271	3.91829	7.81725	29.483	0.805576	0.0273234	70
12	2	3.0522	3.8686	7.88722	29.3332	0.816406	0.0278322	70
12	3	2.94511	3.79801	8.11225	29.555	0.8529	0.028858	70
12	4	3.02156	3.85322	8.10273	29.9928	0.83166	0.0277287	71
12	5	2.98764	3.83441	8.26016	30.4011	0.846777	0.0278535	70
12	6	3.38548	4.10395	7.00485	27.8366	0.718467	0.0258102	70
12	7	3.33781	4.07641	6.97088	27.4804	0.738594	0.0268771	70
14	1	3.14006	3.94351	7.55053	28.656	0.803453	0.0280378	70
14	2	3.18101	3.97277	7.55404	28.9023	0.791768	0.0273946	70
14	3	3.03841	3.87287	7.77668	28.9192	0.834463	0.0288549	71
14	4	3.0699	3.88919	7.88136	29.4905	0.819287	0.0277813	69
14	5	3.14868	3.94767	7.74525	29.4305	0.798984	0.0271481	71
14	6	3.52958	4.20178	6.47837	26.4258	0.672197	0.0254371	70
14	7	3.46104	4.14482	6.40532	25.7663	0.683779	0.0265378	70
