metric	caught_median	missed_median	missed_over_caught
complaints_before_T	57.0000	40.0000	0.7018
steering_complaints_before_T	11.0000	1.0000	0.0909
steer_share	0.2308	0.0238	0.1032
assist_share	0.2000	0.0000	0.0000
age_at_T	2.0000	3.0000	1.5000
growth	5.0000	1.5500	0.3100
rel_make	0.1944	-0.0086	-0.0440
eps_campaign_share	0.6024	0.5506	0.9139
share_with_le_3_steering_complaints	0.3735	0.6404	1.7148
share_with_le_5_steering_complaints	0.4458	0.6742	1.5123
share_with_le_10_steering_complaints	0.4940	0.7416	1.5012
share_with_le_20_steering_complaints	0.6265	0.8539	1.3630
n	83	89	0.5174
