machine	fault_type	severity	D_C1	D_C2	D_V1	D_V2
1.0kW	interturn	0	0	0	0	0
1.0kW	interturn	3.35	13.0784	11.4901	4.13442	6.53315
1.0kW	interturn	6.48	16.1952	13.9431	3.93261	26.611
1.0kW	interturn	21.69	33.3174	25.6846	8.93021	10.9646
1.0kW	intercoil	0	0	0	0	0
1.0kW	intercoil	1.01	3.53408	1.96875	2.26078	6.11835
1.0kW	intercoil	2	7.05244	5.22528	2.49285	48.1121
1.0kW	intercoil	7.56	3.31456	1.58129	7.23036	4.40031
1.5kW	interturn	0	0	0	0	0
1.5kW	interturn	2.34	1.75868	0.620645	0.903364	9.9716
1.5kW	interturn	4.57	2.27233	0.386644	4.37561	1.50491
1.5kW	interturn	16.08	2.4961	4.09932	17.7184	18.5954
1.5kW	intercoil	0	0	0	0	0
1.5kW	intercoil	7.02	0.319052	0.499222	10.7454	3.63722
1.5kW	intercoil	13.12	0.645276	1.2357	13.7169	8.09315
1.5kW	intercoil	37.66	0.761754	1.48531	15.6162	2.46807
3.0kW	interturn	0	0	0	0	0
3.0kW	interturn	2.65	2.81691	3.52594	0.0590318	1.24464
3.0kW	interturn	5.16	1.10207	0.838484	0.690892	0.401324
3.0kW	interturn	17.86	2.62709	3.73711	220.439	25.6588
