mode	device	fa_run4_per_hour	fire_run	run4_decisions	achieved_or_per_hour
F0' docs/299 の指紋(run1 前半)	8	0.0	5	2670	14.42500333911756
F0' docs/299 の指紋(run1 前半)	9	47210.91811414392	5	2418	16.15798922800904
F0' docs/299 の指紋(run1 前半)	10	0.0	5	2437	16.43835616438416
F0' docs/299 の指紋(run1 前半)	11	41236.63489432242	5	2413	15.748031496067405
F0' docs/299 の指紋(run1 前半)	12	64995.145631067964	5	2472	15.53286351214922
F0' docs/299 の指紋(run1 前半)	14	0.0	5	2520	15.483870967747837
F0 較正区間に当てる	8	0.0	5	2670	14.42500333911756
F0 較正区間に当てる	9	10421.836228287842	5	2418	16.15798922800904
F0 較正区間に当てる	10	6499.794829708659	5	2437	16.43835616438416
F0 較正区間に当てる	11	8384.583506009118	5	2413	15.748031496067405
F0 較正区間に当てる	12	26126.21359223301	5	2472	15.53286351214922
F0 較正区間に当てる	14	8942.857142857143	5	2520	15.483870967747837
F1 のみ	8	0.0	5	2670	14.42500333911756
F1 のみ	9	10421.836228287842	5	2418	16.15798922800904
F1 のみ	10	6054.1935483870975	5	2325	16.43835616438416
F1 のみ	11	8384.583506009118	5	2413	15.748031496067405
F1 のみ	12	26126.21359223301	5	2472	15.53286351214922
F1 のみ	14	9323.955316508067	5	2417	15.483870967747837
F2 のみ	8	41528.089887640446	5	2670	14.42500333911756
F2 のみ	9	0.0	5	2418	16.15798922800904
F2 のみ	10	7149.774312679524	5	2437	16.43835616438416
F2 のみ	11	0.0	5	2413	15.748031496067405
F2 のみ	12	17941.747572815533	5	2472	15.53286351214922
F2 のみ	14	15857.142857142857	5	2520	15.483870967747837
F1+F2	8	41528.089887640446	5	2670	14.42500333911756
F1+F2	9	0.0	5	2418	16.15798922800904
F1+F2	10	6611.612903225807	5	2325	16.43835616438416
F1+F2	11	0.0	5	2413	15.748031496067405
F1+F2	12	17941.747572815533	5	2472	15.53286351214922
F1+F2	14	16532.8920148945	5	2417	15.483870967747837
