cutoff	baseline_share	baseline_n	MY2014_total	MY2014_steering	MY2014_share	MY2014_fired	MY2015_total	MY2015_steering	MY2015_share	MY2015_fired	MY2016_total	MY2016_steering	MY2016_share	MY2016_fired	MY2017_total	MY2017_steering	MY2017_share	MY2017_fired
2014-06-30	0.0247	81	43	1	0.0233	-	1	0	0.0000	-	0	0	0.0000	-	0	0	0.0000	-
2014-12-31	0.0183	109	106	12	0.1132	-	6	1	0.1667	-	0	0	0.0000	-	0	0	0.0000	-
2015-06-30	0.0240	125	161	23	0.1429	-	17	1	0.0588	-	0	0	0.0000	-	0	0	0.0000	-
2015-12-31	0.0318	157	206	37	0.1796	-	43	8	0.1860	-	0	0	0.0000	-	0	0	0.0000	-
2016-06-30	0.0263	228	245	41	0.1673	-	82	12	0.1463	-	8	2	0.2500	-	0	0	0.0000	-
2016-12-31	0.0197	304	301	60	0.1993	-	120	15	0.1250	-	37	6	0.1622	-	1	0	0.0000	-
2017-06-30	0.0226	354	375	80	0.2133	-	152	20	0.1316	-	67	17	0.2537	-	9	1	0.1111	-
2017-12-31	0.0200	450	490	123	0.2510	-	197	29	0.1472	-	87	18	0.2069	-	43	4	0.0930	-
2018-06-30	0.0173	519	583	149	0.2556	-	257	39	0.1518	-	110	22	0.2000	-	82	7	0.0854	-
2018-12-31	0.0198	556	713	191	0.2679	-	374	53	0.1417	-	177	28	0.1582	-	114	9	0.0789	-

cohort	role	first_fire_cutoff	recall_announced	lead_time_months
MY2014	リコール対象 (17V-414)	never	2017-07-01	-
MY2015	リコール対象 (18V-586)	never	2018-09-01	-
MY2016	比較対象	never	-	-
MY2017	比較対象	never	-	-
