segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00000	-0.00526	0.00014	0.00054	0.0	-0.00647	0.02935	-1.45751	0.49933	-0.77751	-0.67449	0.66805	-0.42973	1.45751	bias	599	21.12055
00001	-0.0013	0.00014	0.08484	0.2	-0.07282	0.04313	-0.22951	0.50173	1.88912	0.67449	-1.00814	0.53965	1.88912	asymmetry	600	30.44709
00002	0.00369	-0.00042	0.00124	0.1	0.00768	0.00699	1.316	-1.58533	-0.75562	0.0	1.02567	-2.00228	2.00228	hf_noise	600	8.31898
00003	-0.00364	0.00032		0.2	-0.35674	0.04448	-0.9572	1.16945		0.67449	-8.18133	0.63419	8.18133	gain_dev	599	31.12268
00004	0.00141	-0.00023	0.01577	0.2	-0.02132	0.04892	0.6102	-0.87951	-0.29589	0.67449	0.29281	0.94683	0.94683	hf_noise	600	24.71357
00005	0.00091	-9e-05		0.2	-0.06271	0.01891	0.45456	-0.35285		0.67449	-0.75281	-1.16372	1.16372	hf_noise	559	14.15899
00006	0.0019	-0.00014		0.2	-0.10076	0.00994	0.76189	-0.5547		0.67449	-1.71427	-1.79488	1.79488	hf_noise	587	11.55436
00007	-0.00241	0.00037	0.00112	0.0	-0.00455	0.05334	-0.57493	1.36468	-0.7594	-0.67449	0.7165	1.25769	1.36468	drift	599	26.6754
00008	-0.00235	-0.00021		0.1	-0.02527	0.03885	-0.55664	-0.80474		0.0	0.19309	0.23881	0.80474	drift	600	28.7203
00009	-0.00663	0.00022		0.2	-0.14252	0.05047	-1.88211	0.78901		0.67449	-2.76925	1.05609	2.76925	gain_dev	600	28.118
00010	-0.0101	-0.00059	-0.01123	0.1	0.01271	0.02819	-2.95754	-2.2182	-1.14989	0.0	1.15263	-0.51099	2.95754	bias	599	16.71644
00012	-0.00251	0.00041	0.0284	0.2	-0.03133	0.04409	-0.60674	1.50195	0.10362	0.67449	0.03987	0.60667	1.50195	drift	600	27.63142
00013	0.0026	-0.00013		0.1	-0.01655	0.03686	0.97852	-0.50576		0.0	0.41331	0.09846	0.97852	bias	600	19.70832
00014	-0.00335	-0.00021	0.03364	0.2	-0.01117	0.03569	-0.86574	-0.80633	0.26954	0.67449	0.54942	0.01644	0.86574	bias	600	24.60177
00016	-0.00149	6e-05	0.02152	0.2	-0.02103	0.04526	-0.28909	0.18624	-0.11383	0.67449	0.30031	0.6891	0.6891	hf_noise	600	18.95849
00017	-0.00274	-0.0001		0.2	-0.23671	0.01413	-0.67743	-0.40663		0.67449	-5.14895	-1.50033	5.14895	gain_dev	599	18.62815
00018	0.00097	0.00031	0.05171	0.2	-0.0609	0.0488	0.47417	1.13467	0.84099	0.67449	-0.70701	0.93815	1.13467	drift	599	23.62575
00019	0.00222	-0.00015	0.04013	0.1	-0.03069	0.02591	0.86112	-0.59435	0.4749	0.0	0.05617	-0.67183	0.86112	bias	599	10.82049
00021	-0.00046	0.00057	0.0427	0.2	-0.02049	0.05497	0.03033	2.0925	0.55616	0.67449	0.31375	1.37229	2.0925	drift	599	22.90373
00022	0.00424	0.00027	0.03713	0.1	-0.02534	0.0192	1.4868	0.9923	0.37992	0.0	0.19132	-1.14364	1.4868	bias	599	11.6285
00023	0.0058	-0.00019	0.03593	0.0	-0.00932	0.0496	1.9699	-0.71126	0.34201	-0.67449	0.59616	0.99444	1.9699	bias	599	22.92344
00024	0.0163	0.0015		0.1	0.03881	0.04731	5.224	5.54555		0.0	1.81217	0.83323	5.54555	drift	550	23.66081
00025	0.00596	-0.00034	0.00484	0.1	-0.01914	0.03209	2.02008	-1.28444	-0.64162	0.0	0.34791	-0.23695	2.02008	bias	600	11.54829
00026	0.00876	6e-05	-0.02347	0.1	0.03487	0.03273	2.88915	0.21282	-1.53711	0.0	1.71256	-0.19169	2.88915	bias	600	14.65717
00027	-0.00598	0.00075	0.01306	0.1	-0.01527	0.06469	-1.6812	2.73738	-0.38172	0.0	0.44587	2.0558	2.73738	drift	600	30.77998
00028	-0.00039	0.00015	0.01637	0.2	-0.00376	0.03148	0.05217	0.52413	-0.27671	0.67449	0.73648	-0.27987	0.73648	gain_dev	599	30.14955
00029	2e-05	0.0		0.1	-0.16757	0.00502	0.17723	-0.01336		0.0	-3.40201	-2.14071	3.40201	gain_dev	348	5.99281
00030	0.00201	-0.00029	0.02285	0.1	-0.01144	0.05001	0.79472	-1.08813	-0.07185	0.0	0.5424	1.0231	1.08813	drift	599	30.82702
00031	-0.00221	8e-05		0.2	-0.16395	0.04629	-0.51354	0.28888		0.67449	-3.31057	0.76171	3.31057	gain_dev	525	19.3562
00032	0.00088	3e-05		0.2	-0.05965	0.00988	0.44548	0.10495		0.67449	-0.67549	-1.79895	1.79895	hf_noise	563	13.83125
00033	-0.0026	4e-05	0.00719	0.1	-0.05671	0.01828	-0.63458	0.12282	-0.56717	0.0	-0.60121	-1.20825	1.20825	hf_noise	600	11.78416
00034	-0.00107	-0.00012	0.00577	0.0	-0.03538	0.02256	-0.15857	-0.46365	-0.61213	-0.67449	-0.06234	-0.90696	0.90696	hf_noise	520	13.29868
00035	-0.00107	8e-05		0.2	-0.2029	0.04441	-0.15852	0.29145		0.67449	-4.29469	0.62955	4.29469	gain_dev	599	24.77622
00036	0.00412	-0.0002	0.01149	0.1	-0.03935	0.03946	1.44953	-0.77016	-0.43134	0.0	-0.16261	0.2814	1.44953	bias	599	27.52307
