row_id	check_item	question_axis	question	why_ask	answer_source	program_answer	sufficient_if	gap_if	payload_field_if_gap	what_not_to_claim	confidence
PMQS001	under-voltage DTC	Q1_retained	対象programのunder-voltage DTCは、閾値、継続時間、発生時電圧、statusを残すか	DTC確定時に残る情報の在庫を確定する	program診断仕様 / DTC list		閾値・継続時間・発生時電圧が全て残る	発生時電圧やdip durationが残らない	voltage min/max, dip duration class	電源原因断定、EPS無罪、交換時期、RUL、安全保証、root cause、保証費削減	High
PMQS002	under-voltage DTC	Q2_below_dtc	under-voltage検出のsnapshot / extended data格納トリガはconfirmed限定か、pending / testFailedでも格納するか	AUTOSAR Demはトリガをrecordごとに設定可能。confirmed限定ならDTC未満eventのsnapshotは残らない	Dem設定(program固有)		pending / testFailedトリガで格納している	confirmed限定で、DTC未満eventは何も残らない	monitor_status and observed_context	同上	High
PMQS003	under-voltage DTC	Q2_below_dtc	under-voltage検出のデバウンス設定(閾値、継続時間、counter step)はいくつか。assist limitationを起こし得る短いdipがtestFailed未満に収まる設計か	testFailedに至らないdipはDemの枠組みの外であり、標準では原理的にどこにも残らない。ここが差分の中心	Dem設定 / power monitor仕様		assist影響のあるdipは必ずtestFailedに達する設計	assist影響のあるdipがデバウンス未成立で消える	observed_context, dip duration class	同上	Medium
PMQS004	under-voltage DTC	Q2_below_dtc	デバウンスカウンタを不揮発保存(シャットダウン時保存を含む)しているか	NV保存があれば「DTCに至らなかった接近度」を後から読める	Dem設定(NvStorageStrategy)		デバウンスカウンタがNV保存され読み出せる	カウンタは揮発でkey cycleごとに消える	monitor_status	同上	Medium
PMQS005	reset log	Q1_retained	reset成立時、reset種別、reset counter、発生key cycleは残るか	reset確定contextの在庫を確定する	program診断仕様 / reset log仕様		reset種別とcounterとkey cycleが残る	reset回数しか残らない	reset counter delta	同上	High
PMQS006	reset log	Q2_below_dtc	near-reset(reset直前で復帰したcontext)は何らかの形で残るか	resetに至らない不安定さが残るかがdocs/121のケース定義の核	power monitor仕様 / ソフト設計		near-reset相当の内部eventが記録される	reset成立時のみ記録され、near-resetは消える	observed_context	同上	Medium
PMQS007	freeze frame / extended data	Q1_retained	freeze frame / extended dataのfield一覧に、supply voltage、assist mode、key cycle counterは含まれるか	状態説明文に必要なfieldの在庫を確定する	Dem設定 / DID mapping		3fieldとも含まれる	voltageまたはassist modeが含まれない	retained_fields	同上	High
PMQS008	freeze frame / extended data	Q3_simultaneity	voltage contextとassist mode / limit stateは同一event recordに入るか、別recordで時刻同期もないか	同時性(近接)の説明可否を決める。別recordで時刻基準がなければ近接を後から言えない	Dem設定 / event record設計		同一recordまたは共通time/key cycle基準で紐づく	別recordかつ共通時刻基準がない	relation_to_function	同上	High
PMQS009	assist mode / limit state	Q1_retained	assist limitation / reduced assist / fallback stateの遷移は、DTCなしでもevent memoryに残るか	機能側の状態遷移がDTC未満で残るかを確定する	program診断仕様		DTCなしでも状態遷移が記録される	DTC発生時しか記録されない	relation_to_function	同上	Medium
PMQS010	assist mode / limit state	Q3_simultaneity	assist limitation発生時に、その時点のsupply voltageを含むsnapshotを取る設計か	power context×機能影響の同時性を残す最短の既存経路	Dem設定 / 機能仕様		assist limitation eventがsnapshotトリガになっている	assist limitationはsnapshotトリガでない	relation_to_function, retained_fields	同上	Medium
PMQS011	key cycle recurrence	Q4_recurrence	occurrence counter / cycle counterは、DTC未満(pending以下)のeventも数えるか	再発の主張に必要。confirmed後だけならDTC未満の繰り返しは見えない	Dem設定(extended data)		DTC未満eventもcounterが増える	confirmed後しか数えない	recurrence	同上	High
PMQS012	key cycle recurrence	Q4_recurrence	agingとdisplacement(event memory追い出し)の設定で、DTC未満の繰り返しeventは何key cycle保持されるか	残っても数cycleで消えるなら再発説明に使えない	Dem設定(aging / displacement)		再発判定に十分なcycle数保持される	すぐagingまたは追い出しで消える	recurrence	同上	Medium
PMQS013	全項目	Q5_sufficiency	上記の回答だけで、docs/122の状態説明文(EPSがassist制限近傍で短い電源不安定を観測した)を既存資料から書けるか	Hold / Stop判定の直接質問	回答者判断		書ける → Hold / Stop	書けない項目が2つ以上 → 差分あり	-	同上	High
PMQS014	全項目	Q6_fillable	不足がある場合、Dem設定変更または追加trigger設計で埋められるか。概算工数はassessmentスコープに収まるか	差分があっても埋められないならHold	診断設計 / ソフト設計判断		設定変更レベルで埋められる	アーキテクチャ変更が必要	minimum payload全体	同上	Medium
PMQS015	部署利用	usage_gate	差分fieldを、診断企画、品質改善、顧客技術説明のどの成果物に転記するか(2部署以上で具体名を挙げる)	docs/122のProceed条件の後半。使い道のない差分はProceedにしない	各部署ヒアリング		2部署以上で具体的成果物が挙がる	1部署以下または具体名が出ない	-	同上	Medium
