kind	magnitude	detected	usable	detection_rate	clean_fpr
lag_s	0.1	104	621	0.1675	0.0670
lag_s	0.2	224	621	0.3607	0.0670
lag_s	0.3	356	621	0.5733	0.0670
lag_s	0.4	594	621	0.9565	0.0670
lag_s	0.5	613	621	0.9871	0.0670
gain	0.02	29	621	0.0467	0.0670
gain	0.05	239	621	0.3849	0.0670
gain	0.1	514	621	0.8277	0.0670
gain	0.15	596	621	0.9597	0.0670
gain	0.2	618	621	0.9952	0.0670
bias_ms2	0.05	849	849	1.0000	0.0670
bias_ms2	0.1	849	849	1.0000	0.0670
bias_ms2	0.2	849	849	1.0000	0.0670
bias_ms2	0.3	849	849	1.0000	0.0670
asym_ms2	0.05	181	849	0.2132	0.0670
asym_ms2	0.1	472	849	0.5559	0.0670
asym_ms2	0.2	709	849	0.8351	0.0670
asym_ms2	0.3	733	849	0.8634	0.0670
