kind	magnitude	detected	usable	detection_rate	clean_fpr
lag_s	0.1	121	657	0.1842	0.1020
lag_s	0.2	238	657	0.3623	0.1020
lag_s	0.3	283	657	0.4307	0.1020
lag_s	0.4	608	657	0.9254	0.1020
lag_s	0.5	640	657	0.9741	0.1020
gain	0.02	30	657	0.0457	0.1020
gain	0.05	244	657	0.3714	0.1020
gain	0.1	611	657	0.9300	0.1020
gain	0.15	655	657	0.9970	0.1020
gain	0.2	657	657	1.0000	0.1020
bias_ms2	0.05	836	836	1.0000	0.1020
bias_ms2	0.1	836	836	1.0000	0.1020
bias_ms2	0.2	836	836	1.0000	0.1020
bias_ms2	0.3	836	836	1.0000	0.1020
asym_ms2	0.05	152	836	0.1818	0.1020
asym_ms2	0.1	446	836	0.5335	0.1020
asym_ms2	0.2	684	836	0.8182	0.1020
asym_ms2	0.3	714	836	0.8541	0.1020
