kind	magnitude	detected	usable	detection_rate	clean_fpr
lag_s	0.1	65	295	0.2203	0.0842
lag_s	0.2	101	295	0.3424	0.0842
lag_s	0.3	146	295	0.4949	0.0842
lag_s	0.4	204	295	0.6915	0.0842
lag_s	0.5	248	295	0.8407	0.0842
gain	0.02	18	295	0.0610	0.0842
gain	0.05	121	295	0.4102	0.0842
gain	0.1	249	295	0.8441	0.0842
gain	0.15	283	295	0.9593	0.0842
gain	0.2	295	295	1.0000	0.0842
bias_ms2	0.05	457	457	1.0000	0.0842
bias_ms2	0.1	457	457	1.0000	0.0842
bias_ms2	0.2	457	457	1.0000	0.0842
bias_ms2	0.3	457	457	1.0000	0.0842
asym_ms2	0.05	58	457	0.1269	0.0842
asym_ms2	0.1	156	457	0.3414	0.0842
asym_ms2	0.2	230	457	0.5033	0.0842
asym_ms2	0.3	249	457	0.5449	0.0842
