kind	magnitude	detected	usable	detection_rate	clean_fpr
lag_s	0.1	167	664	0.2515	0.0344
lag_s	0.2	286	664	0.4307	0.0344
lag_s	0.3	388	664	0.5843	0.0344
lag_s	0.4	567	664	0.8539	0.0344
lag_s	0.5	626	664	0.9428	0.0344
gain	0.02	28	664	0.0422	0.0344
gain	0.05	147	664	0.2214	0.0344
gain	0.1	311	664	0.4684	0.0344
gain	0.15	417	664	0.6280	0.0344
gain	0.2	511	664	0.7696	0.0344
bias_ms2	0.05	953	953	1.0000	0.0344
bias_ms2	0.1	953	953	1.0000	0.0344
bias_ms2	0.2	953	953	1.0000	0.0344
bias_ms2	0.3	953	953	1.0000	0.0344
asym_ms2	0.05	89	953	0.0934	0.0344
asym_ms2	0.1	288	953	0.3022	0.0344
asym_ms2	0.2	587	953	0.6159	0.0344
asym_ms2	0.3	696	953	0.7303	0.0344
