window_s	n_sub	k_of_n	clean_fpr	kind	magnitude	detected	usable	detection_rate
15	4	1	0.2174	lag_s	0.1	43	108	0.3981
15	4	1	0.2174	lag_s	0.2	84	108	0.7778
15	4	1	0.2174	lag_s	0.3	104	108	0.9630
15	4	1	0.2174	lag_s	0.4	106	108	0.9815
15	4	1	0.2174	lag_s	0.5	108	108	1.0000
15	4	1	0.2174	gain	0.02	3	108	0.0278
15	4	1	0.2174	gain	0.05	38	108	0.3519
15	4	1	0.2174	gain	0.1	90	108	0.8333
15	4	1	0.2174	gain	0.15	103	108	0.9537
15	4	1	0.2174	gain	0.2	106	108	0.9815
15	4	1	0.2174	bias_ms2	0.05	72	108	0.6667
15	4	1	0.2174	bias_ms2	0.1	108	108	1.0000
15	4	1	0.2174	bias_ms2	0.2	108	108	1.0000
15	4	1	0.2174	bias_ms2	0.3	108	108	1.0000
15	4	1	0.2174	asym_ms2	0.05	16	108	0.1481
15	4	1	0.2174	asym_ms2	0.1	41	108	0.3796
15	4	1	0.2174	asym_ms2	0.2	106	108	0.9815
15	4	1	0.2174	asym_ms2	0.3	108	108	1.0000
15	4	2	0.0362	lag_s	0.1	33	133	0.2481
15	4	2	0.0362	lag_s	0.2	82	133	0.6165
15	4	2	0.0362	lag_s	0.3	122	133	0.9173
15	4	2	0.0362	lag_s	0.4	130	133	0.9774
15	4	2	0.0362	lag_s	0.5	133	133	1.0000
15	4	2	0.0362	gain	0.02	0	133	0.0000
15	4	2	0.0362	gain	0.05	8	133	0.0602
15	4	2	0.0362	gain	0.1	74	133	0.5564
15	4	2	0.0362	gain	0.15	111	133	0.8346
15	4	2	0.0362	gain	0.2	125	133	0.9398
15	4	2	0.0362	bias_ms2	0.05	41	133	0.3083
15	4	2	0.0362	bias_ms2	0.1	133	133	1.0000
15	4	2	0.0362	bias_ms2	0.2	133	133	1.0000
15	4	2	0.0362	bias_ms2	0.3	133	133	1.0000
15	4	2	0.0362	asym_ms2	0.05	9	133	0.0677
15	4	2	0.0362	asym_ms2	0.1	23	133	0.1729
15	4	2	0.0362	asym_ms2	0.2	115	133	0.8647
15	4	2	0.0362	asym_ms2	0.3	132	133	0.9925
15	4	3	0.0000	lag_s	0.1	11	138	0.0797
15	4	3	0.0000	lag_s	0.2	44	138	0.3188
15	4	3	0.0000	lag_s	0.3	93	138	0.6739
15	4	3	0.0000	lag_s	0.4	124	138	0.8986
15	4	3	0.0000	lag_s	0.5	132	138	0.9565
15	4	3	0.0000	gain	0.02	0	138	0.0000
15	4	3	0.0000	gain	0.05	3	138	0.0217
15	4	3	0.0000	gain	0.1	38	138	0.2754
15	4	3	0.0000	gain	0.15	90	138	0.6522
15	4	3	0.0000	gain	0.2	114	138	0.8261
15	4	3	0.0000	bias_ms2	0.05	4	138	0.0290
15	4	3	0.0000	bias_ms2	0.1	137	138	0.9928
15	4	3	0.0000	bias_ms2	0.2	138	138	1.0000
15	4	3	0.0000	bias_ms2	0.3	138	138	1.0000
15	4	3	0.0000	asym_ms2	0.05	0	138	0.0000
15	4	3	0.0000	asym_ms2	0.1	7	138	0.0507
15	4	3	0.0000	asym_ms2	0.2	83	138	0.6014
15	4	3	0.0000	asym_ms2	0.3	133	138	0.9638
15	4	4	0.0000	lag_s	0.1	3	138	0.0217
15	4	4	0.0000	lag_s	0.2	15	138	0.1087
15	4	4	0.0000	lag_s	0.3	54	138	0.3913
15	4	4	0.0000	lag_s	0.4	85	138	0.6159
15	4	4	0.0000	lag_s	0.5	105	138	0.7609
15	4	4	0.0000	gain	0.02	0	138	0.0000
15	4	4	0.0000	gain	0.05	1	138	0.0072
15	4	4	0.0000	gain	0.1	10	138	0.0725
15	4	4	0.0000	gain	0.15	37	138	0.2681
15	4	4	0.0000	gain	0.2	70	138	0.5072
15	4	4	0.0000	bias_ms2	0.05	0	138	0.0000
15	4	4	0.0000	bias_ms2	0.1	129	138	0.9348
15	4	4	0.0000	bias_ms2	0.2	138	138	1.0000
15	4	4	0.0000	bias_ms2	0.3	138	138	1.0000
15	4	4	0.0000	asym_ms2	0.05	0	138	0.0000
15	4	4	0.0000	asym_ms2	0.1	1	138	0.0072
15	4	4	0.0000	asym_ms2	0.2	32	138	0.2319
15	4	4	0.0000	asym_ms2	0.3	98	138	0.7101
30	2	1	0.1087	lag_s	0.1	37	123	0.3008
30	2	1	0.1087	lag_s	0.2	79	123	0.6423
30	2	1	0.1087	lag_s	0.3	110	123	0.8943
30	2	1	0.1087	lag_s	0.4	121	123	0.9837
30	2	1	0.1087	lag_s	0.5	122	123	0.9919
30	2	1	0.1087	gain	0.02	1	123	0.0081
30	2	1	0.1087	gain	0.05	37	123	0.3008
30	2	1	0.1087	gain	0.1	112	123	0.9106
30	2	1	0.1087	gain	0.15	122	123	0.9919
30	2	1	0.1087	gain	0.2	122	123	0.9919
30	2	1	0.1087	bias_ms2	0.05	123	123	1.0000
30	2	1	0.1087	bias_ms2	0.1	123	123	1.0000
30	2	1	0.1087	bias_ms2	0.2	123	123	1.0000
30	2	1	0.1087	bias_ms2	0.3	123	123	1.0000
30	2	1	0.1087	asym_ms2	0.05	13	123	0.1057
30	2	1	0.1087	asym_ms2	0.1	49	123	0.3984
30	2	1	0.1087	asym_ms2	0.2	122	123	0.9919
30	2	1	0.1087	asym_ms2	0.3	123	123	1.0000
30	2	2	0.0145	lag_s	0.1	11	136	0.0809
30	2	2	0.0145	lag_s	0.2	44	136	0.3235
30	2	2	0.0145	lag_s	0.3	86	136	0.6324
30	2	2	0.0145	lag_s	0.4	113	136	0.8309
30	2	2	0.0145	lag_s	0.5	125	136	0.9191
30	2	2	0.0145	gain	0.02	0	136	0.0000
