window_s	n_sub	k_of_n	clean_fpr	kind	magnitude	detected	usable	detection_rate
15	4	1	0.2071	lag_s	0.1	105	134	0.7836
15	4	1	0.2071	lag_s	0.2	132	134	0.9851
15	4	1	0.2071	lag_s	0.3	134	134	1.0000
15	4	1	0.2071	lag_s	0.4	134	134	1.0000
15	4	1	0.2071	lag_s	0.5	134	134	1.0000
15	4	1	0.2071	gain	0.02	0	134	0.0000
15	4	1	0.2071	gain	0.05	12	134	0.0896
15	4	1	0.2071	gain	0.1	75	134	0.5597
15	4	1	0.2071	gain	0.15	120	134	0.8955
15	4	1	0.2071	gain	0.2	134	134	1.0000
15	4	1	0.2071	bias_ms2	0.05	29	134	0.2164
15	4	1	0.2071	bias_ms2	0.1	134	134	1.0000
15	4	1	0.2071	bias_ms2	0.2	134	134	1.0000
15	4	1	0.2071	bias_ms2	0.3	134	134	1.0000
15	4	1	0.2071	asym_ms2	0.05	10	134	0.0746
15	4	1	0.2071	asym_ms2	0.1	35	134	0.2612
15	4	1	0.2071	asym_ms2	0.2	115	134	0.8582
15	4	1	0.2071	asym_ms2	0.3	133	134	0.9925
15	4	2	0.0237	lag_s	0.1	77	165	0.4667
15	4	2	0.0237	lag_s	0.2	153	165	0.9273
15	4	2	0.0237	lag_s	0.3	159	165	0.9636
15	4	2	0.0237	lag_s	0.4	163	165	0.9879
15	4	2	0.0237	lag_s	0.5	162	165	0.9818
15	4	2	0.0237	gain	0.02	2	165	0.0121
15	4	2	0.0237	gain	0.05	6	165	0.0364
15	4	2	0.0237	gain	0.1	44	165	0.2667
15	4	2	0.0237	gain	0.15	118	165	0.7152
15	4	2	0.0237	gain	0.2	159	165	0.9636
15	4	2	0.0237	bias_ms2	0.05	13	165	0.0788
15	4	2	0.0237	bias_ms2	0.1	163	165	0.9879
15	4	2	0.0237	bias_ms2	0.2	165	165	1.0000
15	4	2	0.0237	bias_ms2	0.3	165	165	1.0000
15	4	2	0.0237	asym_ms2	0.05	7	165	0.0424
15	4	2	0.0237	asym_ms2	0.1	19	165	0.1152
15	4	2	0.0237	asym_ms2	0.2	85	165	0.5152
15	4	2	0.0237	asym_ms2	0.3	158	165	0.9576
15	4	3	0.0059	lag_s	0.1	31	168	0.1845
15	4	3	0.0059	lag_s	0.2	115	168	0.6845
15	4	3	0.0059	lag_s	0.3	141	168	0.8393
15	4	3	0.0059	lag_s	0.4	147	168	0.8750
15	4	3	0.0059	lag_s	0.5	151	168	0.8988
15	4	3	0.0059	gain	0.02	0	168	0.0000
15	4	3	0.0059	gain	0.05	0	168	0.0000
15	4	3	0.0059	gain	0.1	13	168	0.0774
15	4	3	0.0059	gain	0.15	58	168	0.3452
15	4	3	0.0059	gain	0.2	131	168	0.7798
15	4	3	0.0059	bias_ms2	0.05	0	168	0.0000
15	4	3	0.0059	bias_ms2	0.1	146	168	0.8690
15	4	3	0.0059	bias_ms2	0.2	168	168	1.0000
15	4	3	0.0059	bias_ms2	0.3	168	168	1.0000
15	4	3	0.0059	asym_ms2	0.05	0	168	0.0000
15	4	3	0.0059	asym_ms2	0.1	3	168	0.0179
15	4	3	0.0059	asym_ms2	0.2	37	168	0.2202
15	4	3	0.0059	asym_ms2	0.3	116	168	0.6905
15	4	4	0.0000	lag_s	0.1	7	169	0.0414
15	4	4	0.0000	lag_s	0.2	56	169	0.3314
15	4	4	0.0000	lag_s	0.3	86	169	0.5089
15	4	4	0.0000	lag_s	0.4	100	169	0.5917
15	4	4	0.0000	lag_s	0.5	113	169	0.6686
15	4	4	0.0000	gain	0.02	0	169	0.0000
15	4	4	0.0000	gain	0.05	0	169	0.0000
15	4	4	0.0000	gain	0.1	1	169	0.0059
15	4	4	0.0000	gain	0.15	19	169	0.1124
15	4	4	0.0000	gain	0.2	66	169	0.3905
15	4	4	0.0000	bias_ms2	0.05	0	169	0.0000
15	4	4	0.0000	bias_ms2	0.1	61	169	0.3609
15	4	4	0.0000	bias_ms2	0.2	169	169	1.0000
15	4	4	0.0000	bias_ms2	0.3	169	169	1.0000
15	4	4	0.0000	asym_ms2	0.05	0	169	0.0000
15	4	4	0.0000	asym_ms2	0.1	1	169	0.0059
15	4	4	0.0000	asym_ms2	0.2	10	169	0.0592
15	4	4	0.0000	asym_ms2	0.3	48	169	0.2840
30	2	1	0.1479	lag_s	0.1	54	144	0.3750
30	2	1	0.1479	lag_s	0.2	94	144	0.6528
30	2	1	0.1479	lag_s	0.3	134	144	0.9306
30	2	1	0.1479	lag_s	0.4	143	144	0.9931
30	2	1	0.1479	lag_s	0.5	143	144	0.9931
30	2	1	0.1479	gain	0.02	1	144	0.0069
30	2	1	0.1479	gain	0.05	26	144	0.1806
30	2	1	0.1479	gain	0.1	138	144	0.9583
30	2	1	0.1479	gain	0.15	144	144	1.0000
30	2	1	0.1479	gain	0.2	144	144	1.0000
30	2	1	0.1479	bias_ms2	0.05	143	144	0.9931
30	2	1	0.1479	bias_ms2	0.1	144	144	1.0000
30	2	1	0.1479	bias_ms2	0.2	144	144	1.0000
30	2	1	0.1479	bias_ms2	0.3	144	144	1.0000
30	2	1	0.1479	asym_ms2	0.05	18	144	0.1250
30	2	1	0.1479	asym_ms2	0.1	46	144	0.3194
30	2	1	0.1479	asym_ms2	0.2	141	144	0.9792
30	2	1	0.1479	asym_ms2	0.3	144	144	1.0000
30	2	2	0.0059	lag_s	0.1	21	168	0.1250
30	2	2	0.0059	lag_s	0.2	49	168	0.2917
30	2	2	0.0059	lag_s	0.3	106	168	0.6310
30	2	2	0.0059	lag_s	0.4	137	168	0.8155
30	2	2	0.0059	lag_s	0.5	149	168	0.8869
30	2	2	0.0059	gain	0.02	1	168	0.0060
30	2	2	0.0059	gain	0.05	3	168	0.0179
30	2	2	0.0059	gain	0.1	103	168	0.6131
30	2	2	0.0059	gain	0.15	150	168	0.8929
30	2	2	0.0059	gain	0.2	161	168	0.9583
30	2	2	0.0059	bias_ms2	0.05	119	168	0.7083
30	2	2	0.0059	bias_ms2	0.1	168	168	1.0000
30	2	2	0.0059	bias_ms2	0.2	168	168	1.0000
30	2	2	0.0059	bias_ms2	0.3	168	168	1.0000
30	2	2	0.0059	asym_ms2	0.05	3	168	0.0179
30	2	2	0.0059	asym_ms2	0.1	16	168	0.0952
30	2	2	0.0059	asym_ms2	0.2	110	168	0.6548
