window_s	n_sub	k_of_n	clean_fpr	kind	magnitude	detected	usable	detection_rate
15	4	1	0.0909	lag_s	0.1	10	20	0.5000
15	4	1	0.0909	lag_s	0.2	14	20	0.7000
15	4	1	0.0909	lag_s	0.3	17	20	0.8500
15	4	1	0.0909	lag_s	0.4	20	20	1.0000
15	4	1	0.0909	lag_s	0.5	20	20	1.0000
15	4	1	0.0909	gain	0.02	0	20	0.0000
15	4	1	0.0909	gain	0.05	4	20	0.2000
15	4	1	0.0909	gain	0.1	12	20	0.6000
15	4	1	0.0909	gain	0.15	19	20	0.9500
15	4	1	0.0909	gain	0.2	20	20	1.0000
15	4	1	0.0909	bias_ms2	0.05	18	20	0.9000
15	4	1	0.0909	bias_ms2	0.1	20	20	1.0000
15	4	1	0.0909	bias_ms2	0.2	20	20	1.0000
15	4	1	0.0909	bias_ms2	0.3	20	20	1.0000
15	4	1	0.0909	asym_ms2	0.05	4	20	0.2000
15	4	1	0.0909	asym_ms2	0.1	8	20	0.4000
15	4	1	0.0909	asym_ms2	0.2	19	20	0.9500
15	4	1	0.0909	asym_ms2	0.3	20	20	1.0000
15	4	2	0.0000	lag_s	0.1	7	22	0.3182
15	4	2	0.0000	lag_s	0.2	12	22	0.5455
15	4	2	0.0000	lag_s	0.3	14	22	0.6364
15	4	2	0.0000	lag_s	0.4	18	22	0.8182
15	4	2	0.0000	lag_s	0.5	19	22	0.8636
15	4	2	0.0000	gain	0.02	0	22	0.0000
15	4	2	0.0000	gain	0.05	2	22	0.0909
15	4	2	0.0000	gain	0.1	8	22	0.3636
15	4	2	0.0000	gain	0.15	18	22	0.8182
15	4	2	0.0000	gain	0.2	22	22	1.0000
15	4	2	0.0000	bias_ms2	0.05	10	22	0.4545
15	4	2	0.0000	bias_ms2	0.1	22	22	1.0000
15	4	2	0.0000	bias_ms2	0.2	22	22	1.0000
15	4	2	0.0000	bias_ms2	0.3	22	22	1.0000
15	4	2	0.0000	asym_ms2	0.05	0	22	0.0000
15	4	2	0.0000	asym_ms2	0.1	2	22	0.0909
15	4	2	0.0000	asym_ms2	0.2	17	22	0.7727
15	4	2	0.0000	asym_ms2	0.3	21	22	0.9545
15	4	3	0.0000	lag_s	0.1	2	22	0.0909
15	4	3	0.0000	lag_s	0.2	5	22	0.2273
15	4	3	0.0000	lag_s	0.3	7	22	0.3182
15	4	3	0.0000	lag_s	0.4	11	22	0.5000
15	4	3	0.0000	lag_s	0.5	14	22	0.6364
15	4	3	0.0000	gain	0.02	0	22	0.0000
15	4	3	0.0000	gain	0.05	0	22	0.0000
15	4	3	0.0000	gain	0.1	3	22	0.1364
15	4	3	0.0000	gain	0.15	12	22	0.5455
15	4	3	0.0000	gain	0.2	20	22	0.9091
15	4	3	0.0000	bias_ms2	0.05	1	22	0.0455
