window_s	n_sub	k_of_n	clean_fpr	kind	magnitude	detected	usable	detection_rate
15	4	1	0.1898	lag_s	0.1	84	111	0.7568
15	4	1	0.1898	lag_s	0.2	104	111	0.9369
15	4	1	0.1898	lag_s	0.3	108	111	0.9730
15	4	1	0.1898	lag_s	0.4	111	111	1.0000
15	4	1	0.1898	lag_s	0.5	111	111	1.0000
15	4	1	0.1898	gain	0.02	4	111	0.0360
15	4	1	0.1898	gain	0.05	37	111	0.3333
15	4	1	0.1898	gain	0.1	83	111	0.7477
15	4	1	0.1898	gain	0.15	104	111	0.9369
15	4	1	0.1898	gain	0.2	111	111	1.0000
15	4	1	0.1898	bias_ms2	0.05	103	111	0.9279
15	4	1	0.1898	bias_ms2	0.1	111	111	1.0000
15	4	1	0.1898	bias_ms2	0.2	111	111	1.0000
15	4	1	0.1898	bias_ms2	0.3	111	111	1.0000
15	4	1	0.1898	asym_ms2	0.05	11	111	0.0991
15	4	1	0.1898	asym_ms2	0.1	51	111	0.4595
15	4	1	0.1898	asym_ms2	0.2	105	111	0.9459
15	4	1	0.1898	asym_ms2	0.3	111	111	1.0000
15	4	2	0.0219	lag_s	0.1	67	134	0.5000
15	4	2	0.0219	lag_s	0.2	109	134	0.8134
15	4	2	0.0219	lag_s	0.3	124	134	0.9254
15	4	2	0.0219	lag_s	0.4	129	134	0.9627
15	4	2	0.0219	lag_s	0.5	132	134	0.9851
15	4	2	0.0219	gain	0.02	0	134	0.0000
15	4	2	0.0219	gain	0.05	21	134	0.1567
15	4	2	0.0219	gain	0.1	68	134	0.5075
15	4	2	0.0219	gain	0.15	101	134	0.7537
15	4	2	0.0219	gain	0.2	121	134	0.9030
15	4	2	0.0219	bias_ms2	0.05	82	134	0.6119
15	4	2	0.0219	bias_ms2	0.1	134	134	1.0000
15	4	2	0.0219	bias_ms2	0.2	134	134	1.0000
15	4	2	0.0219	bias_ms2	0.3	134	134	1.0000
15	4	2	0.0219	asym_ms2	0.05	4	134	0.0299
15	4	2	0.0219	asym_ms2	0.1	32	134	0.2388
