device	run	r_on	t_pkg	r_on_normalised	capability	granularity	fire_m0	fire_m1	fire_m2
8	1	1.87606	154.992	1.87606	0.999839	0.000811848	5	5	4
8	2	1.8193	149.971	1.87428	1.00031	0.000811848	5	5	4
8	3	1.7627	144.643	1.87602	0.999848	0.000811848	5	5	4
8	4	1.74116	139.345	1.9125	0.990268	0.000811848	5	5	4
8	5	2.07257	137.933	2.25937	0.911086	0.000811848	5	5	4
8	6	2.20159	138.583	2.38127	0.88746	0.000811848	5	5	4
8	7	2.36914	123.804	2.71066	0.831794	0.000811848	5	5	4
9	1	1.83397	154.579	1.83397	1.00024	0.00123589	7	6	5
9	2	1.78416	149.282	1.8366	0.999524	0.00123589	7	6	5
9	3	1.72823	143.896	1.83399	1.00024	0.00123589	7	6	5
9	4	1.67465	138.509	1.83372	1.00031	0.00123589	7	6	5
9	5	1.72966	132.48	1.94841	0.970421	0.00123589	7	6	5
9	6	1.91398	133.102	2.12658	0.928881	0.00123589	7	6	5
9	7	2.07331	132.77	2.2892	0.89528	0.00123589	7	6	5
10	1	2.00785	157.202	2.00785	0.99954	0.00224266	5	1	4
10	2	1.93965	152.273	2.00254	1.00086	0.00224266	5	1	4
10	3	1.87272	146.631	2.00761	0.999598	0.00224266	5	1	4
10	4	1.84004	141.673	2.03821	0.992067	0.00224266	5	1	4
10	5	2.0931	139.323	2.32126	0.929616	0.00224266	5	1	4
10	6	2.20784	139.923	2.42834	0.908889	0.00224266	5	1	4
10	7	2.32199	140.776	2.53161	0.890159	0.00224266	5	1	4
11	1	1.85096	149.993	1.85096	0.999785	0.00110538	8	6	5
11	2	1.79537	145.161	1.84859	1.00043	0.00110538	8	6	5
11	3	1.7431	140.203	1.85094	0.99979	0.00110538	8	6	5
11	4	1.68994	135.436	1.85027	0.999971	0.00110538	8	6	5
11	5	1.72691	132.739	1.91696	0.982424	0.00110538	8	6	5
11	6	1.87738	133.389	2.06027	0.947641	0.00110538	8	6	5
11	7	1.99411	133.081	2.18039	0.921166	0.00110538	8	6	5
12	1	1.86036	151.599	1.86036	1.00042	0.00231101	8	5	5
12	2	1.81077	145.934	1.86523	0.999112	0.00231101	8	5	5
12	3	1.75749	140.919	1.86016	1.00047	0.00231101	8	5	5
12	4	1.69413	135.962	1.84446	1.00472	0.00231101	8	5	5
12	5	1.76004	132.394	1.94467	0.978493	0.00231101	8	5	5
12	6	1.87617	133.514	2.05003	0.953016	0.00231101	8	5	5
12	7	1.97932	133.376	2.15451	0.92962	0.00231101	8	5	5
14	1	1.87349	152.597	1.87349	0.998724	0.0064143	5	5	5
14	2	1.81499	147.708	1.8595	1.00247	0.0064143	5	5	5
14	3	1.78064	142.437	1.87314	0.998817	0.0064143	5	5	5
14	4	1.75394	137.671	1.88984	0.994394	0.0064143	5	5	5
14	5	2.07037	135.045	2.23018	0.91538	0.0064143	5	5	5
14	6	2.19231	134.586	2.35629	0.890547	0.0064143	5	5	5
14	7	2.26477	133.855	2.4354	0.875963	0.0064143	5	5	5
