device	span_C	residual_over_floor	n	floor
8	10	0.3424	5641	0.184718
8	20	0.3448	8487	0.184718
8	40	0.3489	8692	0.184718
8	60	0.3516	8844	0.184718
8	80	0.3522	8903	0.184718
8	100	0.3523	9008	0.184718
9	10	0.3343	4812	0.179011
9	20	0.3351	7380	0.179011
9	40	0.3406	7629	0.179011
9	60	0.3454	7788	0.179011
9	80	0.3459	7832	0.179011
9	100	0.3477	7968	0.179011
10	10	0.3682	5058	0.216288
10	20	0.3591	7383	0.216288
10	40	0.3720	7607	0.216288
10	60	0.4282	7774	0.216288
10	80	0.5439	7841	0.216288
10	100	0.6439	7925	0.216288
11	10	0.3386	5232	0.177771
11	20	0.3370	7755	0.177771
11	40	0.3408	7948	0.177771
11	60	0.3436	8128	0.177771
11	80	0.3451	8176	0.177771
11	100	0.3451	8276	0.177771
12	10	0.3405	5140	0.173098
12	20	0.3390	7653	0.173098
12	40	0.3420	7940	0.173098
12	60	0.3447	8136	0.173098
12	80	0.3463	8190	0.173098
12	100	0.3461	8342	0.173098
14	10	0.3273	5350	0.184014
14	20	0.3287	7772	0.184014
14	40	0.3318	8078	0.184014
14	60	0.3357	8271	0.184014
14	80	0.3363	8322	0.184014
14	100	0.3369	8403	0.184014
