device	run	tempco_pct_per_C	delta	delta_Tj_C	assumed_healthy_dTj_C	headroom_loss
8	5	0.583880	0.204706	35.059588	20.000000	0.636757
8	5	0.583880	0.204706	35.059588	40.000000	0.467090
8	5	0.583880	0.204706	35.059588	60.000000	0.368817
8	6	0.583880	0.269703	46.191494	20.000000	0.697846
8	6	0.583880	0.269703	46.191494	40.000000	0.535917
8	6	0.583880	0.269703	46.191494	60.000000	0.434983
8	7	0.583880	0.445333	76.271294	20.000000	0.792254
8	7	0.583880	0.445333	76.271294	40.000000	0.655977
8	7	0.583880	0.445333	76.271294	60.000000	0.559702
9	5	0.539490	0.061890	11.471944	20.000000	0.364513
9	5	0.539490	0.061890	11.471944	40.000000	0.222878
9	5	0.539490	0.061890	11.471944	60.000000	0.160510
9	6	0.539490	0.158991	29.470607	20.000000	0.595720
9	6	0.539490	0.158991	29.470607	40.000000	0.424217
9	6	0.539490	0.158991	29.470607	60.000000	0.329389
9	7	0.539490	0.247619	45.898713	20.000000	0.696504
9	7	0.539490	0.247619	45.898713	40.000000	0.534335
9	7	0.539490	0.247619	45.898713	60.000000	0.433421
10	5	0.636136	0.157158	24.705096	20.000000	0.552624
10	5	0.636136	0.157158	24.705096	40.000000	0.381811
10	5	0.636136	0.157158	24.705096	60.000000	0.291660
10	6	0.636136	0.210537	33.096226	20.000000	0.623325
10	6	0.636136	0.210537	33.096226	40.000000	0.452776
10	6	0.636136	0.210537	33.096226	60.000000	0.355506
10	7	0.636136	0.262016	41.188678	20.000000	0.673142
10	7	0.636136	0.262016	41.188678	40.000000	0.507320
10	7	0.636136	0.262016	41.188678	60.000000	0.407048
11	5	0.595315	0.036100	6.064019	20.000000	0.232659
11	5	0.595315	0.036100	6.064019	40.000000	0.131643
11	5	0.595315	0.036100	6.064019	60.000000	0.091790
11	6	0.595315	0.113557	19.075119	20.000000	0.488165
11	6	0.595315	0.113557	19.075119	40.000000	0.322896
11	6	0.595315	0.113557	19.075119	60.000000	0.241228
11	7	0.595315	0.178485	29.981618	20.000000	0.599853
11	7	0.595315	0.178485	29.981618	40.000000	0.428421
11	7	0.595315	0.178485	29.981618	60.000000	0.333197
12	5	0.516346	0.044444	8.607414	20.000000	0.300881
12	5	0.516346	0.044444	8.607414	40.000000	0.177080
12	5	0.516346	0.044444	8.607414	60.000000	0.125459
12	6	0.516346	0.101031	19.566548	20.000000	0.494522
12	6	0.516346	0.101031	19.566548	40.000000	0.328482
12	6	0.516346	0.101031	19.566548	60.000000	0.245914
12	7	0.516346	0.157149	30.434851	20.000000	0.603449
12	7	0.516346	0.157149	30.434851	40.000000	0.432099
12	7	0.516346	0.157149	30.434851	60.000000	0.336539
14	5	0.487195	0.193430	39.702818	20.000000	0.665007
14	5	0.487195	0.193430	39.702818	40.000000	0.498136
14	5	0.487195	0.193430	39.702818	60.000000	0.398212
14	6	0.487195	0.260917	53.554982	20.000000	0.728095
14	6	0.487195	0.260917	53.554982	40.000000	0.572444
14	6	0.487195	0.260917	53.554982	60.000000	0.471622
14	7	0.487195	0.303253	62.244733	20.000000	0.756823
14	7	0.487195	0.303253	62.244733	40.000000	0.608782
14	7	0.487195	0.303253	62.244733	60.000000	0.509181
