device	flange_band_C	index_run1	index_run3	raw_diff_run1_C	raw_diff_run3_C	n_run1	n_run3
Test_8	100	0.67410	0.63295	30.854	29.541	101	105
Test_8	150	0.73224	0.72520	52.931	53.449	126	83
Test_8	200	0.79753	0.81165	78.226	78.805	70	54
Test_9	100	0.63828	0.66906	29.767	30.975	268	107
Test_9	150	0.70913	0.76341	52.444	54.851	157	84
Test_9	200	0.78549	0.79934	77.111	78.207	121	134
Test_10	100	0.54559	0.43729	26.545	23.121	138	98
Test_10	150	0.67551	0.61328	49.214	47.901	63	128
Test_10	200	0.73987	0.71567	74.891	73.421	71	105
Test_11	100	0.75084	0.74369	32.824	32.914	79	63
Test_11	150	0.79184	0.78160	56.171	55.664	114	137
Test_11	200	0.85689	0.85404	80.997	80.803	99	89
Test_12	100	0.69620	0.65012	31.050	29.922	149	251
Test_12	150	0.75521	0.74005	54.137	53.836	133	126
Test_12	200	0.81112	0.80697	78.693	78.631	159	136
Test_14	100	0.66316	0.73785	30.789	32.876	106	63
Test_14	150	0.72364	0.71903	53.101	52.972	130	130
Test_14	200	0.80225	0.77946	78.299	76.777	102	242
