device	run	P_W	T_package_C	T_flange_C	deltaT_C	Rth_C_per_W	Rth_vs_run1
8	1	12.723444	154.991599	246.559432	-92.401387	-7.273973	1.000000
8	2	13.096442	149.970945	237.250212	-87.658111	-6.714775	0.923123
8	3	13.482346	144.643017	227.420642	-83.238324	-6.188854	0.850822
8	4	13.619046	139.344960	216.971507	-77.979163	-5.742490	0.789457
8	5	11.710975	137.932598	207.117427	-69.694310	-5.964215	0.819939
8	6	11.198913	138.582845	207.175081	-69.027983	-6.187267	0.850604
8	7	10.486360	123.804210	199.979676	-76.240591	-7.272584	0.999809
9	1	13.729041	154.578770	246.293890	-92.877965	-6.774988	1.000000
9	2	14.025865	149.281600	237.298781	-89.002686	-6.361606	0.938984
9	3	14.376807	143.895553	227.164310	-84.389848	-5.875575	0.867245
9	4	14.736046	138.509264	217.551340	-79.604319	-5.415004	0.799264
9	5	14.300844	132.479772	207.177062	-75.705540	-5.299321	0.782189
9	6	13.218580	133.102254	207.416677	-75.225706	-5.710464	0.842874
9	7	12.390696	132.769562	207.281426	-75.163739	-6.066059	0.895361
10	1	12.702975	157.202261	246.682098	-90.160816	-7.077812	1.000000
10	2	13.054070	152.273400	236.304101	-84.712014	-6.511894	0.920043
10	3	13.424768	146.631397	226.631089	-80.494290	-6.002072	0.848012
10	4	13.607587	141.672750	216.673817	-76.399484	-5.606100	0.792067
10	5	12.270243	139.322618	207.263814	-68.601253	-5.566837	0.786520
10	6	11.751970	139.923083	207.322849	-67.652983	-5.791234	0.818224
10	7	11.273102	140.775535	207.366616	-66.777165	-5.964831	0.842751
11	1	13.532367	149.993286	246.542062	-97.376826	-7.206235	1.000000
11	2	13.860253	145.160915	236.726481	-92.328944	-6.678383	0.926751
11	3	14.177550	140.202592	226.824260	-87.393163	-6.171591	0.856424
11	4	14.525467	135.436115	217.080271	-82.193589	-5.690078	0.789605
11	5	14.095587	132.738640	207.239974	-75.231865	-5.353775	0.742937
11	6	13.185765	133.388725	207.322760	-74.235202	-5.636294	0.782141
11	7	12.666968	133.080965	207.361319	-74.409008	-5.873770	0.815096
12	1	13.390315	151.598707	246.076798	-95.496583	-7.149118	1.000000
12	2	13.590288	145.934282	236.376574	-91.107339	-6.718215	0.939726
12	3	13.806664	140.919134	226.754463	-86.114676	-6.257424	0.875272
12	4	14.387552	135.961784	216.844362	-81.798005	-5.695332	0.796648
12	5	13.824605	132.394130	207.247535	-75.022168	-5.527004	0.773103
12	6	13.135302	133.514273	206.915438	-74.287958	-5.658670	0.791520
12	7	12.584283	133.376016	207.362131	-74.207320	-5.909654	0.826627
14	1	13.167356	152.597350	246.647520	-94.375263	-7.193642	1.000000
14	2	13.555062	147.707992	236.186432	-89.383514	-6.608465	0.918653
14	3	13.687033	142.436727	226.608326	-84.767830	-6.212257	0.863576
14	4	14.016520	137.670654	217.016071	-79.908168	-5.718317	0.794913
14	5	12.226967	135.044817	207.311033	-72.708316	-5.927571	0.824001
14	6	11.585956	134.586010	207.433195	-72.943625	-6.314958	0.877853
14	7	11.273474	133.855384	207.049754	-73.613281	-6.567855	0.913008
