category	n	rate_in_steering_intermittent	rate_all_complaints	lift	rate_all_steering	lift_vs_steering
low_speed_parking	1359	0.137148	0.0723191	1.89643	0.101018	1.35767
highway	1692	0.170754	0.102926	1.65899	0.159809	1.06849
cold	484	0.0488445	0.0319193	1.53025	0.0328542	1.4867
hot	374	0.0377435	0.0309611	1.21906	0.0228706	1.65031
start_up	884	0.0892118	0.0396106	2.25222	0.049356	1.80752
bump_rough_road	324	0.0326975	0.0242573	1.34795	0.0521241	0.627302
while_turning	1781	0.179736	0.0320458	5.6087	0.113122	1.58887
rain_moisture	207	0.0208901	0.0249306	0.837931	0.0197965	1.05524
momentary	274	0.0276516	0.0131638	2.10057	0.0169572	1.63067
clears_on_restart	1239	0.125038	0.0420956	2.97033	0.0690529	1.81076
