layer	case	rate_or_hz	v1	v2	v3	source
nvm	設計値	1.0	3000	15000	60000	docs/225 の要求
nvm	遅い側 傾き変化 実劣化	18.0	54000	270000	1080000	docs/317 で較正できた上限
nvm	速い側 実インバータ	23.6	70800	354000	1416000	docs/286 の保留正常で実測
nvm	個体単位 全チャネル	281.2	843600	4218000	16872000	docs/294。登録が 17 倍足りない
bus_cyclic	10 ms 周期	100	200	720000	0	周期
bus_cyclic	100 ms 周期	10	20	72000	0	周期
diag_readout	設計値	1.0	15448	0	0	500h
diag_readout	遅い側 傾き変化 実劣化	18.0	270448	0	0	500h
diag_readout	速い側 実インバータ	23.6	354448	0	0	500h
diag_readout	個体単位 全チャネル	281.2	4218448	0	0	500h
