f_sw_khz	i_design_a	rth	sw_share	output_drop	binding
10.0	20.0	1.0	0.0	0.03659685047013911	電圧
10.0	20.0	1.0	0.25	0.03659685047013911	電圧
10.0	20.0	1.0	0.5	0.03659685047013911	電圧
10.0	20.0	1.0	0.75	0.1078448189131711	熱
10.0	20.0	2.0	0.0	0.03659685047013911	電圧
10.0	20.0	2.0	0.25	0.03659685047013911	電圧
10.0	20.0	2.0	0.5	0.10784481891317116	熱
10.0	20.0	4.0	0.0	0.10784481891317116	熱
10.0	20.0	4.0	0.25	0.1078448189131711	熱
10.0	40.0	1.0	0.0	0.10784481891317116	熱
10.0	40.0	1.0	0.25	0.1078448189131711	熱
10.0	40.0	2.0	0.0	0.10784481891317121	熱
10.0	40.0	2.0	0.25	0.10784481891317127	熱
10.0	40.0	4.0	0.0	0.10784481891317116	熱
10.0	60.0	1.0	0.0	0.10784481891317116	熱
10.0	60.0	1.0	0.25	0.1078448189131711	熱
10.0	60.0	2.0	0.0	0.10784481891317121	熱
10.0	60.0	4.0	0.0	0.10784481891317116	熱
20.0	20.0	1.0	0.0	0.03659685047013911	電圧
20.0	20.0	1.0	0.25	0.03659685047013911	電圧
20.0	20.0	1.0	0.5	0.03659685047013911	電圧
20.0	20.0	1.0	0.75	0.1078448189131711	熱
20.0	20.0	2.0	0.0	0.03659685047013911	電圧
20.0	20.0	2.0	0.25	0.03659685047013911	電圧
20.0	20.0	2.0	0.5	0.10784481891317116	熱
20.0	20.0	4.0	0.0	0.10784481891317116	熱
20.0	20.0	4.0	0.25	0.1078448189131711	熱
20.0	40.0	1.0	0.0	0.10784481891317116	熱
20.0	40.0	1.0	0.25	0.1078448189131711	熱
20.0	40.0	2.0	0.0	0.10784481891317121	熱
20.0	40.0	2.0	0.25	0.10784481891317127	熱
20.0	40.0	4.0	0.0	0.10784481891317116	熱
20.0	60.0	1.0	0.0	0.10784481891317116	熱
20.0	60.0	1.0	0.25	0.1078448189131711	熱
20.0	60.0	2.0	0.0	0.10784481891317121	熱
20.0	60.0	4.0	0.0	0.10784481891317116	熱
40.0	20.0	1.0	0.0	0.03659685047013911	電圧
40.0	20.0	1.0	0.25	0.03659685047013911	電圧
40.0	20.0	1.0	0.5	0.03659685047013911	電圧
40.0	20.0	1.0	0.75	0.1078448189131711	熱
40.0	20.0	2.0	0.0	0.03659685047013911	電圧
40.0	20.0	2.0	0.25	0.03659685047013911	電圧
40.0	20.0	2.0	0.5	0.10784481891317116	熱
40.0	20.0	4.0	0.0	0.10784481891317116	熱
40.0	20.0	4.0	0.25	0.1078448189131711	熱
40.0	40.0	1.0	0.0	0.10784481891317116	熱
40.0	40.0	1.0	0.25	0.1078448189131711	熱
40.0	40.0	2.0	0.0	0.10784481891317121	熱
40.0	40.0	2.0	0.25	0.10784481891317127	熱
40.0	40.0	4.0	0.0	0.10784481891317116	熱
40.0	60.0	1.0	0.0	0.10784481891317116	熱
40.0	60.0	1.0	0.25	0.1078448189131711	熱
40.0	60.0	2.0	0.0	0.10784481891317121	熱
40.0	60.0	4.0	0.0	0.10784481891317116	熱
