group	unit	mu	sigma_b	D	t_fail	ig_lo	ig_hi	inside
A	Test_8	0.2796300056561458	0.5512310019401012	2.09849808629989	6.292780274525285	4.963075867234341	16.581473119947255	1
A	Test_9	0.20634212179299075	0.5167582791897658	2.0878576627028247	10.703682501800358	5.550617682647376	22.216625690505758	1
A	Test_10	0.13373021779193237	1.0288009480809674	1.7230009319980057	nan	3.1005370276614266	33.1854508134051	0
A	Test_11	0.1666024023940141	0.5493282204256545	2.223624736321752	nan	5.947426847246636	29.92554746242489	0
A	Test_12	0.2047372351211424	0.5588329712692264	2.2434217070433866	11.024243328720331	5.638304386911614	24.244012545262333	1
A	Test_14	0.18748709036807398	0.5611220829753085	2.130964621786056	5.197232217527926	5.448210184465737	25.66404635701468	0
B	Test_35	0.0808848715219027	0.1029962485306411	0.08	1.9379269452765584	1.260429188934465	3.376101541852888	1
B	Test_36	0.039825035789402816	0.09544054264502284	0.08	3.9720700001344085	2.3452893204136878	6.9857704963306135	1
B	Test_37	0.01348734607475611	0.09396699535586368	0.08	nan	2.2960514896699715	15.225181531175533	0
B	Test_38	0.1673062156530963	0.09893960147959206	0.08	1.2138047218322754	0.8444973036470125	1.6755286324008971	1
B	Test_41	2.746254309341579e-05	0.07723514844116772	0.08	nan	4.0240005677533475	71.12084713813638	0
pop	summary	-1.6527761312239013	0.24581922678029802	0.5550319866046638	0.998	231.13559965151632	2.331964443437755	
